id,x0,x1,x2,fitness-5,fitness-4.5,fitness-4,fitness-3,fitness-3.5
75,-2.5379,2.36692,-3.62097,-178.706,NA,NA,NA,NA
386,-1.49992,3.60815,-2.71147,NA,-215.875,NA,NA,NA
538,-1.98345,4.45559,-3.57264,NA,-100.671,NA,NA,NA
703,-0.617807,5,-3.87632,NA,NA,-181.606,NA,NA
878,0.039683,5,-5,-193.36,NA,NA,NA,NA
1053,-0.649796,5,-4.52876,NA,NA,-145.876,NA,NA
1326,-1.52099,3.58819,-4.72983,-46.225,NA,NA,NA,NA
1429,-3.04042,3.72054,-5,-86.09,NA,NA,NA,NA
1709,-2.95756,3.28044,-5,-77.425,NA,NA,NA,NA
1930,-1.32212,2.9655,-4.85857,-54.807,NA,NA,NA,NA
2021,-1.48378,3.3184,-4.97695,-69.731,NA,NA,NA,NA
2214,-2.18129,4.49911,-5,-57.306,NA,NA,NA,NA
2443,-2.33188,5,-5,-77.279,NA,NA,NA,NA
2685,-2.98864,5,-5,-102.253,NA,NA,NA,NA
2990,-2.3141,5,-5,-76.901,NA,NA,NA,NA
3065,-2.587,4.20518,-5,-71.369,NA,NA,NA,NA
3249,-2.45816,4.02966,-4.91397,-58.598,NA,NA,NA,NA
3584,-1.85978,5,-5,-77.249,NA,NA,NA,NA
3745,-2.45598,4.01382,-5,NA,-51.227,NA,NA,NA
3963,-1.93189,4.43212,-5,-58.498,NA,NA,NA,NA
4127,-1.87386,4.4473,-5,-56.424,NA,NA,NA,NA
4237,-2.0077,5,-5,-81.879,NA,NA,NA,NA
4532,-1.52063,3.52439,-5,-48.649,NA,NA,NA,NA
4698,-2.84173,4.31293,-5,NA,-73.906,NA,NA,NA
4808,-2.57533,4.51859,-5,NA,NA,-75.083,NA,NA
5135,-2.16128,5,-4.77834,-79.245,NA,NA,NA,NA
5395,-2.56277,4.48655,-5,-67.358,NA,NA,NA,NA
5550,-2.7916,3.72404,-4.74158,-71.031,NA,NA,NA,NA
5797,-2.6927,4.50125,-5,-71.707,NA,NA,NA,NA
5980,-2.17066,5,-5,-78.378,NA,NA,NA,NA
6122,-1.24184,5,-5,-88.859,NA,NA,NA,NA
6246,-2.46531,5,-5,-83.555,NA,NA,NA,NA
6560,-1.93312,3.39571,-5,NA,NA,NA,-102.833,NA
6756,-2.52903,3.67313,-4.71534,NA,NA,-63.251,NA,NA
6997,-1.31146,3.4453,-5,-71.701,NA,NA,NA,NA
7071,-1.52916,4.21197,-5,-48.841,NA,NA,NA,NA
7373,-1.5637,3.97048,-5,-41.139,NA,NA,NA,NA
7454,-1.34597,3.71896,-5,-27.911,NA,NA,NA,NA
7774,-2.40871,4.00552,-5,-58.554,NA,NA,NA,NA
7865,-2.63274,4.8888,-5,-82.655,NA,NA,NA,NA
8195,-1.93442,5,-5,NA,NA,-94.739,NA,NA
8348,-1.85448,3.35427,-4.81003,NA,NA,-55.644,NA,NA
8435,-1.82145,4.03924,-5,NA,NA,NA,NA,-88.209
8712,-3.17643,3.90723,-5,NA,-85.79,NA,NA,NA
8956,-2.85566,3.33315,-5,-74.592,NA,NA,NA,NA
9026,-2.00971,4.64254,-4.7999,-52.972,NA,NA,NA,NA
9393,-0.979847,5,-5,-96.327,NA,NA,NA,NA
9558,-1.80327,4.46317,-4.41956,-65.221,NA,NA,NA,NA
9620,-1.42182,4.15843,-4.10824,-69.563,NA,NA,NA,NA
