id,x0,x1,x2,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness-3
94,-3.68365,4.56829,-3.26032,-191.228,NA,NA,NA,NA
335,-2.75988,3.91921,-4.35595,NA,-74.093,NA,NA,NA
429,-2.29777,4.23042,-5,NA,-46.018,NA,NA,NA
751,-3.23751,4.30686,-4.84269,NA,NA,-87.053,NA,NA
974,-2.9669,4.70418,-5,NA,NA,NA,-110.899,NA
1137,-2.12818,4.88284,-4.96984,NA,NA,-70.733,NA,NA
1303,-1.30701,3.54814,-5,NA,NA,-9.774,NA,NA
1401,-2.09966,3.47637,-5,NA,-60.509,NA,NA,NA
1610,-1.92624,3.43522,-4.77158,-25.369,NA,NA,NA,NA
1937,-2.32731,3.71716,-4.5628,NA,-57.351,NA,NA,NA
2002,-2.5294,3.84891,-5,NA,-55.921,NA,NA,NA
2386,-1.75214,4.40728,-5,NA,-48.967,NA,NA,NA
2458,-2.52087,4.12935,-5,NA,-63.315,NA,NA,NA
2737,-1.69273,3.62215,-5,NA,-45.726,NA,NA,NA
2987,-1.99569,4.17928,-5,NA,NA,-43.994,NA,NA
3196,-1.44252,4.0022,-4.81512,NA,-41.874,NA,NA,NA
3332,-1.62839,5,-3.73864,NA,NA,-112.149,NA,NA
3548,-1.91007,3.72881,-5,NA,NA,-26.582,NA,NA
3657,-2.68712,3.7393,-4.00036,-92.084,NA,NA,NA,NA
3979,-1.96195,4.13939,-4.65031,NA,NA,NA,-87.512,NA
4172,-1.94717,3.9089,-4.62597,NA,NA,NA,-68.685,NA
4291,-2.06142,3.50236,-4.05756,NA,NA,NA,-122.455,NA
4554,-2.65793,3.11973,-3.98063,NA,-101.823,NA,NA,NA
4751,-2.27072,4.59887,-4.0181,NA,-84.424,NA,NA,NA
4904,-1.58982,5,-4.67649,NA,-79.148,NA,NA,NA
5073,-1.8058,5,-4.83329,NA,-73.426,NA,NA,NA
5317,-1.76439,5,-5,NA,-73.031,NA,NA,NA
5537,-1.40661,4.38543,-5,NA,-70.109,NA,NA,NA
5712,-2.67999,4.47516,-5,NA,NA,-66.87,NA,NA
5834,-1.67586,3.23371,-3.69308,NA,-95.136,NA,NA,NA
6110,-3.10125,4.55142,-4.9299,-92.065,NA,NA,NA,NA
6233,-3.42462,4.99721,-5,NA,-126.406,NA,NA,NA
6405,-2.79538,4.44135,-5,NA,NA,-71.696,NA,NA
6668,-1.21097,5,-5,NA,-90.048,NA,NA,NA
6957,-1.32743,5,-5,NA,-93.785,NA,NA,NA
