id,x0,x1,x2,fitness0.5,fitness-0.5,fitness-1,fitness-1.5
157,-0.331433,4.89614,3.94517,-225.549,NA,NA,NA
204,0.297813,4.89614,3.94517,-213.832,NA,NA,NA
243,0.297813,4.89614,3.94517,NA,-199.248,NA,NA
265,0.297813,3.80672,3.94517,NA,-176.475,NA,NA
277,0.297813,3.80672,4.97423,NA,-126.895,NA,NA
303,0.297813,3.80672,4.97423,NA,-121.542,NA,NA
356,0.297813,3.92947,4.97423,NA,-84.411,NA,NA
377,0.297813,3.92947,4.97423,NA,NA,-70.12,NA
402,0.297813,3.92947,4.90603,NA,NA,-59.838,NA
434,0.297813,3.92947,4.90603,NA,NA,-55.341,NA
482,0.297813,3.92947,4.90603,NA,NA,-41.534,NA
549,0.323473,3.92947,4.90603,NA,NA,-39.261,NA
609,0.323473,3.94487,4.90603,NA,NA,-38.134,NA
814,0.323473,3.94487,4.90362,NA,NA,-38.123,NA
882,0.323473,3.94811,4.90362,NA,NA,-38.032,NA
956,0.323473,3.94811,4.90362,NA,NA,-37.807,NA
1184,0.322626,3.94811,4.90362,NA,NA,-37.782,NA
2206,0.322626,3.95274,4.90362,NA,NA,-37.752,NA
2924,0.322626,3.95274,4.4879,NA,NA,NA,-36.645
2977,0.322626,3.95274,4.4879,NA,NA,NA,-13.898
3044,0.322626,3.95274,4.4879,NA,NA,NA,-12.904
3072,0.322626,3.95274,4.38501,NA,NA,NA,-11.635
3090,0.322626,3.95274,4.45296,NA,NA,NA,-11.529
3105,0.322626,3.95274,4.40831,NA,NA,NA,-11.132
3122,0.302772,3.95274,4.40831,NA,NA,NA,-10.648
3172,0.302772,3.8953,4.40831,NA,NA,NA,-9.524
3212,0.302772,3.8953,4.42881,NA,NA,NA,-9.048
3232,0.302772,3.8953,4.44985,NA,NA,NA,-8.838
3244,0.275274,3.8953,4.44985,NA,NA,NA,-8.22
3340,0.275274,3.81454,4.44985,NA,NA,NA,-7.463
3380,0.275274,3.82408,4.44985,NA,NA,NA,-7.381
3460,0.198806,3.82408,4.44985,NA,NA,NA,-4.63
3508,0.198806,3.82408,4.44985,NA,NA,NA,-4.507
3536,0.198806,3.82408,4.45558,NA,NA,NA,-4.118
3564,0.176471,3.82408,4.45558,NA,NA,NA,-3.946
3598,0.176471,3.82408,4.49224,NA,NA,NA,-1.979
3654,0.176471,3.82408,4.49224,NA,NA,NA,-1.699
3682,0.176471,3.82408,4.49224,NA,NA,NA,-1.605
3696,0.176471,3.74887,4.49224,NA,NA,NA,-1.228
3839,0.176471,3.77292,4.49224,NA,NA,NA,-0.69
3933,0.176471,3.77292,4.49465,NA,NA,NA,-0.61
4145,0.176471,3.77292,4.54758,NA,NA,NA,-0.426
4255,0.176471,3.77292,4.52692,NA,NA,NA,-0.142
4369,0.167245,3.77292,4.52692,NA,NA,NA,-0.054
4488,0.160419,3.77292,4.52692,NA,NA,NA,-0.047
4567,0.160419,3.77785,4.52692,NA,NA,NA,-0.015
4824,0.160419,3.77785,4.52692,NA,NA,NA,-0.014
5104,0.160419,3.77785,4.52424,NA,NA,NA,-0.011
5316,0.160419,3.78445,4.52424,NA,NA,NA,-0.008
5488,0.160419,3.78175,4.52424,NA,NA,NA,-0.003
5927,0.164128,3.78175,4.52424,NA,NA,NA,-0.001
8139,0.164128,3.78175,4.70061,NA,NA,NA,-15.453
