id,x0,x1,x2,fitness2,fitness1,fitness0.5
114,7.35206,4.04125,2.18664,0.969,NA,NA
263,7.62417,4.04125,2.18664,0.995,NA,NA
331,7.62417,4.15426,2.18664,0.997,NA,NA
411,7.62417,4.11075,2.18664,0.998,NA,NA
577,7.70018,4.11075,2.18664,1,NA,NA
1116,7.70018,4.11075,2.18664,NA,1,NA
1506,7.70018,4.11075,2.18664,NA,NA,1
1695,7.70018,4.11075,1.17097,NA,NA,1
2892,7.70175,4.11075,1.17097,NA,NA,1
3843,7.70455,4.11075,1.17097,NA,NA,1
4411,7.70592,4.11075,1.17097,NA,NA,1
6631,7.70592,4.11075,2.19314,NA,NA,1
7392,7.70592,4.11104,2.19314,NA,NA,1
8138,7.70592,4.47649,2.19314,NA,NA,0.915
