id,x0,x1,x2,fitness-1.5,fitness-1,fitness-2,fitness0,fitness1.5,fitness4,fitness3,fitness2.5,fitness-0.5,fitness1,fitness0.5,fitness2,fitness-2.5,fitness-3,fitness-4,fitness-3.5,fitness-4.5,fitness-5,fitness4.5,fitness3.5,fitness5
130,1.49523,-1.47655,2.04327,6.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,1.78214,-0.894791,1.16948,NA,428.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,0.482292,-0.808033,2.16506,757.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,-1.05702,-0.70821,1.71386,NA,NA,770.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,0.634158,0.318586,0.923417,212.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1055,1.67576,1.10081,0.871009,NA,-26.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1342,2.3642,0.599475,0.191569,NA,NA,NA,9.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1535,1.77134,0.701451,1.29899,NA,NA,NA,NA,-20.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610,0.987915,0.518241,2.28278,NA,NA,NA,NA,NA,9.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,0.308453,-0.439679,0.111547,NA,NA,NA,NA,NA,NA,3.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2198,-1.32036,0.0297948,0.809863,NA,NA,NA,NA,NA,NA,NA,229.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2382,-3.13621,-1.41153,0.143775,NA,NA,NA,NA,43.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2514,-2.94623,-0.546246,2.26193,NA,NA,NA,441.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2732,-4.41086,-0.534797,0.853406,NA,NA,NA,NA,-94.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2947,-4.98834,-0.827244,0.347929,NA,NA,NA,NA,332.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3117,-3.78029,-2.74834,1.44192,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3320,-2.8188,-2.23714,2.01073,NA,NA,NA,4.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3550,-4.82631,-1.8012,3.71707,NA,NA,NA,NA,NA,NA,NA,NA,96.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3680,-3.24846,-1.14827,4.65147,NA,NA,-35.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3902,-3.77023,-2.10129,4.33292,NA,NA,NA,179.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4072,-4.75139,-3.97867,3.40723,NA,NA,NA,28.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4258,-4.00724,-2.50157,3.58307,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4496,-4.45563,-2.4005,2.87239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4627,-3.68847,-1.66929,2.14793,NA,NA,NA,NA,NA,NA,NA,NA,-10.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4992,-3.39361,-1.87056,2.56335,17.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5036,-3.21622,-2.78449,3.07604,NA,NA,-6.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5356,-3.21237,-1.27177,2.4604,NA,NA,53.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5577,-3.52543,-2.36211,0.403565,NA,NA,NA,NA,NA,NA,NA,NA,91.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5694,-3.554,-2.88781,0.25091,NA,NA,NA,NA,NA,NA,NA,NA,68.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5831,-4.98737,-3.89051,0.813899,NA,NA,NA,NA,NA,NA,NA,NA,140.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6004,-4.47102,-2.25494,0.334303,NA,NA,NA,18.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6233,-4.86411,-2.60284,-0.562502,NA,NA,NA,NA,NA,NA,NA,NA,NA,-151.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6514,-4.63623,-2.2485,-0.425431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6781,-4.2231,-2.5181,1.03832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6829,-4.57724,-3.8376,1.40713,NA,NA,NA,22.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7129,-3.79268,-4.49697,1.43897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7308,-2.27006,-4.67812,0.279256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7598,-2.22894,-2.58913,1.47152,NA,NA,NA,-67.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7778,-0.35016,-0.807716,1.90428,NA,NA,NA,1439.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7859,-1.28828,-2.21036,-0.0684408,NA,NA,NA,1329.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8070,-1.09031,-0.718465,-0.344564,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8237,-1.02616,-2.16827,0.219965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
8521,-0.389096,-2.2694,0.614148,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8680,0.41167,-1.75286,-0.537965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.998,NA,NA,NA,NA,NA,NA,NA,NA,NA
8913,1.05387,-2.7861,-1.44524,NA,NA,NA,59.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9022,0.830727,-4.08672,-1.65105,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9218,1.09745,-4.46506,-1.42167,NA,NA,NA,21.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9589,3.01256,-3.30082,-1.37978,NA,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9729,1.75827,-3.03849,-2.283,NA,30.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9919,0.950576,-3.19466,-1.37817,NA,NA,NA,NA,NA,NA,NA,NA,150.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
