id,x0,x1,x2,fitness7.5,fitness9,fitness8.5,fitness8,fitness7,fitness6.5
185,8.27768,8.21342,8.02316,0.836,NA,NA,NA,NA,NA
378,7.98135,8.52102,7.64411,NA,0.653,NA,NA,NA,NA
497,7.72531,8.24594,8.18435,NA,NA,0.766,NA,NA,NA
786,7.42843,7.86456,8.19595,NA,NA,0.794,NA,NA,NA
892,8.00244,7.33164,8.12142,NA,NA,NA,0.905,NA,NA
1040,7.91394,7.50587,7.92687,NA,NA,NA,0.972,NA,NA
1281,7.97413,7.5924,7.69621,0.957,NA,NA,NA,NA,NA
1409,8.42265,7.90362,7.99896,0.863,NA,NA,NA,NA,NA
1674,8.24745,7.75764,7.69894,NA,NA,NA,NA,0.83,NA
1948,7.86021,7.89437,8.55703,0.846,NA,NA,NA,NA,NA
2037,7.65179,7.04978,8.32782,0.835,NA,NA,NA,NA,NA
2306,7.47202,6.91839,7.19862,NA,NA,NA,0.798,NA,NA
2404,8.14384,8.90276,7.84691,0.731,NA,NA,NA,NA,NA
2707,7.50438,8.03877,7.35541,NA,NA,0.855,NA,NA,NA
2862,7.7565,8.16279,7.60171,0.952,NA,NA,NA,NA,NA
3142,7.60376,7.28487,7.13018,NA,NA,0.823,NA,NA,NA
3388,7.80462,7.73793,6.91152,NA,NA,NA,0.859,NA,NA
3573,9.04088,7.68114,7.68862,0.722,NA,NA,NA,NA,NA
3680,7.9126,7.38731,7.56376,NA,NA,NA,0.963,NA,NA
3954,7.53259,7.74968,7.59683,NA,NA,0.916,NA,NA,NA
4181,8.01487,8.22311,7.72392,NA,NA,NA,0.925,NA,NA
4263,7.63954,6.77985,7.88962,NA,NA,NA,NA,0.753,NA
4537,7.89517,7.63385,7.23566,0.911,NA,NA,NA,NA,NA
4727,7.6107,8.11064,7.72216,NA,NA,0.905,NA,NA,NA
4955,7.88319,7.61751,7.52891,NA,NA,NA,0.946,NA,NA
5043,7.55322,7.37291,7.60533,NA,NA,0.802,NA,NA,NA
5327,7.7821,7.07519,7.63219,NA,NA,0.798,NA,NA,NA
5452,8.09519,7.63376,8.09306,NA,NA,NA,0.922,NA,NA
5712,7.27144,7.64875,7.95112,0.937,NA,NA,NA,NA,NA
5969,8.12615,8.59803,7.47441,NA,NA,NA,0.767,NA,NA
6133,7.79393,8.74296,6.71159,NA,NA,0.522,NA,NA,NA
6370,7.78605,8.51346,7.2923,NA,NA,NA,NA,0.759,NA
6445,7.45999,7.65588,7.39859,NA,NA,NA,0.952,NA,NA
6793,7.46952,6.92465,6.95574,NA,NA,NA,0.72,NA,NA
6979,7.56945,8.93498,7.7852,0.768,NA,NA,NA,NA,NA
7106,7.43653,7.31076,7.46527,NA,NA,NA,NA,0.841,NA
7221,7.09213,7.38219,7.31787,NA,NA,NA,0.858,NA,NA
7564,7.44779,7.90382,6.78281,NA,0.624,NA,NA,NA,NA
7667,7.14798,7.98813,7.45931,NA,NA,0.836,NA,NA,NA
7851,8.07378,7.84194,7.49915,NA,NA,NA,0.934,NA,NA
8101,8.31478,7.90037,8.14133,NA,NA,0.818,NA,NA,NA
8236,8.31142,8.04679,7.94191,NA,NA,0.73,NA,NA,NA
8472,7.78477,8.02087,7.46445,NA,NA,0.842,NA,NA,NA
8742,8.21615,7.20118,7.02405,NA,NA,NA,0.782,NA,NA
8953,7.49536,7.98259,7.69127,NA,NA,NA,0.959,NA,NA
9152,7.69232,7.58922,8.10914,NA,NA,0.834,NA,NA,NA
