id,x0,x1,x2,fitness-3,fitness-1,fitness-2.5,fitness-2,fitness-3.5,fitness-4,fitness-1.5,fitness-5,fitness-4.5,fitness-0.5
75,2.02646,1.14243,-3.22545,-58.087,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,2.78998,1.88516,-5,NA,-82.133,NA,NA,NA,NA,NA,NA,NA,NA
506,2.26362,1.81532,-3.8589,NA,NA,-16.05,NA,NA,NA,NA,NA,NA,NA
645,1.68373,2.43389,-5,-37.884,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,1.24504,2.97953,-5,NA,NA,NA,-63.117,NA,NA,NA,NA,NA,NA
1065,1.91185,2.94066,-5,NA,NA,-49.316,NA,NA,NA,NA,NA,NA,NA
1317,2.43107,2.13119,-5,NA,NA,NA,NA,-41.937,NA,NA,NA,NA,NA
1577,1.51501,2.33248,-4.1357,NA,NA,NA,NA,-34.218,NA,NA,NA,NA,NA
1744,0.698588,2.52842,-4.2278,NA,NA,NA,NA,NA,-84.441,NA,NA,NA,NA
1974,1.66671,1.80264,-4.56857,NA,NA,-4.797,NA,NA,NA,NA,NA,NA,NA
2097,2.33484,1.99836,-4.62449,NA,NA,NA,-19.339,NA,NA,NA,NA,NA,NA
2363,2.05465,0.914919,-4.3697,-29.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
2472,1.49765,1.26007,-4.56988,NA,NA,NA,NA,-37.755,NA,NA,NA,NA,NA
2642,1.60379,1.5894,-5,NA,NA,NA,-24.397,NA,NA,NA,NA,NA,NA
2978,1.82566,1.65998,-4.04304,NA,NA,NA,NA,NA,NA,-35.279,NA,NA,NA
3039,1.97237,1.59,-3.64934,NA,NA,NA,-24.008,NA,NA,NA,NA,NA,NA
3325,1.91146,0.0308703,-5,NA,NA,NA,-174.731,NA,NA,NA,NA,NA,NA
3544,1.22142,0.840097,-5,NA,NA,NA,-74.915,NA,NA,NA,NA,NA,NA
3617,1.76806,0.854748,-4.79197,NA,NA,NA,-46.48,NA,NA,NA,NA,NA,NA
3964,1.76845,0.946109,-3.84391,NA,NA,-30.923,NA,NA,NA,NA,NA,NA,NA
