id,x0,x1,x2,fitness-4,fitness-4.5,fitness-5
200,-4.72483,1.98561,-4.5644,-302.544,NA,NA
222,-4.72483,2.85371,-4.5644,-249.327,NA,NA
261,-4.25262,2.85371,-4.5644,-198.916,NA,NA
302,-4.25262,3.21947,-4.5644,-187.25,NA,NA
327,-2.37435,3.21947,-4.5644,NA,-68.782,NA
362,-1.74554,3.21947,-4.5644,NA,-51.266,NA
404,-1.74554,3.21947,-4.5644,NA,-42.922,NA
466,-1.74554,3.63174,-4.5644,NA,-18.799,NA
502,-1.74554,3.63174,-5,NA,-9.875,NA
541,-1.41985,3.63174,-5,NA,-4.294,NA
611,-1.41985,3.63174,-4.82643,NA,-1.371,NA
720,-1.41985,3.63174,-4.88096,NA,-1.271,NA
825,-1.47471,3.63174,-4.88096,NA,-0.586,NA
918,-1.47471,3.69206,-4.88096,NA,-0.389,NA
943,-1.47471,3.69206,-4.84352,NA,-0.344,NA
1080,-1.47471,3.66948,-4.84352,NA,-0.283,NA
1302,-1.47471,3.66948,-4.86047,NA,-0.244,NA
1410,-1.47471,3.66948,-4.86047,NA,-0.012,NA
1497,-1.47471,3.67102,-4.86047,NA,-0.01,NA
2926,-1.48642,3.67102,-4.86047,NA,-0.006,NA
3516,-1.48642,3.67598,-4.86047,NA,-0.005,NA
4013,-1.47926,3.67598,-4.86047,NA,-0.002,NA
4464,-1.47926,3.67382,-4.86047,NA,-0.001,NA
4733,-1.48123,3.67382,-4.86047,NA,-0.001,NA
4975,-1.48123,3.67382,-4.85708,NA,0,NA
5574,-1.48123,3.67382,-4.85831,NA,0,NA
7552,-1.48123,3.67382,-4.85831,NA,0,NA
7963,-1.48123,3.67382,-4.85831,NA,NA,-31.358
