id,x0,x1,x2,fitness-3,fitness-4.5,fitness-4
135,-1.9516,3.45775,-4.39698,-176.142,NA,NA
210,-1.9516,3.45775,-4.7955,-84.485,NA,NA
233,-1.9516,3.45775,-4.7955,NA,-25.826,NA
245,-1.67482,3.45775,-4.7955,NA,-23.175,NA
265,-1.67482,3.45775,-4.7955,NA,NA,-18.709
306,-1.67482,3.45775,-4.7955,NA,-18.563,NA
317,-1.67482,3.83033,-4.7955,NA,-4.733,NA
361,-1.67482,3.83033,-4.7955,NA,-4.216,NA
508,-1.67482,3.83033,-4.7955,NA,-4.073,NA
529,-1.67482,3.83033,-4.7955,NA,-3.963,NA
588,-1.63069,3.83033,-4.7955,NA,-3.768,NA
698,-1.63069,3.70508,-4.7955,NA,-2.635,NA
737,-1.63069,3.70508,-4.88816,NA,-2.302,NA
763,-1.48674,3.70508,-4.88816,NA,-0.628,NA
817,-1.48674,3.70508,-4.8737,NA,-0.521,NA
979,-1.48674,3.68017,-4.8737,NA,-0.357,NA
1028,-1.48674,3.68017,-4.8737,NA,-0.208,NA
1091,-1.48674,3.67915,-4.8737,NA,-0.206,NA
1151,-1.48674,3.67915,-4.8737,NA,-0.098,NA
1198,-1.48674,3.67915,-4.85493,NA,-0.063,NA
1277,-1.48674,3.67915,-4.85739,NA,-0.061,NA
1391,-1.48674,3.67915,-4.85739,NA,-0.015,NA
1689,-1.48674,3.67915,-4.85739,NA,-0.011,NA
1719,-1.48636,3.67915,-4.85739,NA,-0.011,NA
1896,-1.47856,3.67915,-4.85739,NA,-0.008,NA
2228,-1.4811,3.67915,-4.85739,NA,-0.007,NA
2324,-1.4811,3.66984,-4.85739,NA,-0.005,NA
4278,-1.4811,3.66984,-4.85739,NA,-0.003,NA
4476,-1.4811,3.6721,-4.85739,NA,-0.001,NA
4745,-1.4811,3.67425,-4.85739,NA,0,NA
5375,-1.4811,3.67425,-4.85887,NA,0,NA
6063,-1.4811,3.67425,-4.8585,NA,0,NA
8205,-1.4811,3.67425,-5,NA,-3.116,NA
