id,x0,x1,x2,fitness7.5,fitness8,fitness9,fitness7,fitness8.5,fitness9.5,fitness6.5,fitness10,fitness5.5,fitness4.5,fitness4,fitness5,fitness6,fitness2.5,fitness3,fitness3.5,fitness2,fitness0.5,fitness1,fitness1.5,fitness10.5
192,4.19433,9.21495,4.17164,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,3.73745,7.21126,4.06723,NA,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,5.10071,7.31102,4.35977,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767,5.25328,7.58572,3.42641,NA,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843,4.92819,8.74609,3.80639,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,3.12492,6.66194,4.34536,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,3.36004,6.70792,4.35421,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1467,2.42097,6.23602,3.53464,NA,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1614,2.95062,7.24365,3.46249,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,2.41713,7.26022,3.83836,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054,1.64553,6.41397,2.28374,NA,NA,NA,NA,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,1.5388,6.23842,2.18342,NA,NA,-0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2600,2.50327,7.11609,1.8287,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2659,1.59506,7.10592,2.56563,NA,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2988,1.72483,8.99182,2.89364,NA,-0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3178,4.00398,8.75035,3.95371,NA,NA,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
