id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5
150,-1.34614,4.31791,2.95748,721.684,NA,NA,NA
315,-2.45055,4.75998,3.31943,NA,1270.347,NA,NA
584,-1.24549,5,3.19671,NA,2305.234,NA,NA
730,-0.999187,5,2.84474,NA,2360.271,NA,NA
966,-0.204572,5,4.3407,NA,4505.889,NA,NA
1038,0.156948,5,4.91447,NA,1192.559,NA,NA
1370,-0.590329,5,4.9829,NA,7634.436,NA,NA
1549,-0.853802,5,5,12655.242,NA,NA,NA
1719,-0.776571,5,5,NA,15343.785,NA,NA
1850,-0.678303,5,5,NA,10876.124,NA,NA
2144,-0.637124,5,5,NA,9285.631,NA,NA
2293,-0.656424,4.90866,5,NA,NA,4302.737,NA
2495,-1.41087,5,5,6638.151,NA,NA,NA
2724,-1.05369,5,5,NA,4240.126,NA,NA
2908,-2.02636,5,4.82218,NA,7236.897,NA,NA
3057,-1.40303,4.77333,4.20206,NA,10760.817,NA,NA
3319,-0.918168,5,5,NA,10946.401,NA,NA
3483,-0.99416,5,5,NA,8474.864,NA,NA
3716,-0.819349,5,5,NA,13250.157,NA,NA
3973,-1.02604,5,5,NA,6952.378,NA,NA
4028,-1.00218,5,5,NA,7178.552,NA,NA
4236,-2.14767,5,5,NA,3799.193,NA,NA
4476,-1.87427,5,5,NA,4891.967,NA,NA
4622,-0.994361,4.88175,5,NA,10047.652,NA,NA
4812,-1.56121,4.23372,5,NA,5647.576,NA,NA
5022,-0.828706,5,5,NA,12933.233,NA,NA
5320,-0.844409,5,4.92605,NA,16015.717,NA,NA
5416,-0.743779,5,3.69388,NA,4332.092,NA,NA
5675,-1.68659,4.2891,4.86013,NA,4315.014,NA,NA
5828,-1.55446,4.43486,4.7256,NA,4125.597,NA,NA
6148,-2.54654,5,4.83423,2257.782,NA,NA,NA
6373,-2.1535,5,5,NA,3666.194,NA,NA
6530,-0.530208,5,5,NA,3959.579,NA,NA
6753,-2.0992,4.74357,5,NA,5367.156,NA,NA
6948,-1.86267,4.65092,4.98717,NA,3252.915,NA,NA
7125,-0.908226,4.77337,4.98499,14783.528,NA,NA,NA
7259,-0.889993,4.68127,5,NA,10363.902,NA,NA
7401,-1.44373,4.30401,5,NA,7262.979,NA,NA
7664,-1.98004,5,4.83764,NA,7263.192,NA,NA
7890,-0.857458,4.73329,5,NA,13722.359,NA,NA
8123,-0.735014,5,5,NA,12411.672,NA,NA
8304,-0.710033,5,5,9269.817,NA,NA,NA
8514,-0.499797,5,5,NA,2309.601,NA,NA
8695,-1.35036,4.68755,5,NA,NA,5543.097,NA
8973,-2.15934,5,5,NA,4702.919,NA,NA
9144,-1.97154,4.96833,5,NA,7252.506,NA,NA
9230,-0.880151,5,5,NA,15914.046,NA,NA
9427,-0.664538,4.61662,5,NA,5736.425,NA,NA
9677,-0.220343,4.27019,5,NA,6230.184,NA,NA
9903,-0.218118,4.1727,5,NA,3989.275,NA,NA
10116,-0.995759,4.70608,5,NA,7414.449,NA,NA
10366,-0.91596,5,4.62868,NA,6787.825,NA,NA
10597,-1.43635,5,4.12815,NA,4832.286,NA,NA
10612,-0.926237,5,4.78593,NA,13313.901,NA,NA
10973,-1.58287,5,4.29782,NA,5293.278,NA,NA
11114,-2.11151,5,5,NA,5456.852,NA,NA
11241,-2.1485,5,4.79682,4747.66,NA,NA,NA
11440,-3.06005,5,5,NA,3060.742,NA,NA
11735,-2.21951,5,5,NA,1984.78,NA,NA
11829,-0.902112,5,4.8128,NA,14910.428,NA,NA
12005,-0.96503,4.86173,5,NA,15898.833,NA,NA
12217,-1.93418,5,5,NA,4993.322,NA,NA
12431,-1.95421,5,5,NA,5259.682,NA,NA
12731,-2.01374,5,4.96196,NA,6395.269,NA,NA
12909,-2.06757,5,4.80321,NA,8892.365,NA,NA
13130,-1.00705,5,5,NA,6916.618,NA,NA
13281,-1.94189,5,5,5698.124,NA,NA,NA
13478,-1.92213,5,4.83365,NA,6341.026,NA,NA
13685,-0.716728,4.25537,4.28567,NA,4857.464,NA,NA
13999,-0.899748,5,5,NA,11544.492,NA,NA
14041,-0.782808,5,5,NA,17334.274,NA,NA
