id,x0,x1,x2,fitness4,fitness4.5,fitness5,fitness3.5,fitness2.5,fitness1,fitness0,fitness0.5,fitness-1.5,fitness-1,fitness-2,fitness1.5,fitness-0.5,fitness-3,fitness-2.5,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness2,fitness3
61,-0.592108,3.59389,-0.620375,241.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,1.91519,4.81536,-0.26635,NA,1235.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,3.46985,5,-0.205158,NA,NA,1430.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692,3.4022,5,-2.18797,459.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,2.70567,4.75579,-1.88325,NA,NA,1079.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1193,2.71866,3.82551,-1.95443,NA,NA,449.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1369,3.17828,3.723,-1.23858,NA,NA,720.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421,3.37928,4.44506,-2.05702,NA,NA,NA,12.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1686,2.17925,5,0.0717063,NA,NA,369.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,3.18416,5,0.853821,NA,NA,1036.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,3.29595,5,1.87108,NA,NA,833.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2344,1.81616,5,3.26725,NA,NA,914.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2575,0.748941,5,3.2964,414.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2634,-0.702628,5,2.74308,862.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2924,0.978019,4.98208,2.34247,NA,NA,NA,162.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3136,-0.206318,5,4.14508,NA,NA,3531.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3316,1.67144,4.00141,4.94573,NA,NA,64.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
