id,x0,x1,x2,fitness-2.5,fitness-2,fitness-3
56,-1.32781,4.3934,3.77586,-15.936,NA,NA
223,-1.32781,4.3934,3.39096,-8.275,NA,NA
288,-1.32781,4.3934,3.39096,NA,-3.069,NA
352,-1.54602,4.3934,3.39096,NA,-0.51,NA
447,-1.54602,4.3934,3.25759,NA,-0.048,NA
556,-1.54602,4.3934,3.27215,NA,-0.021,NA
636,-1.54602,4.3934,3.29609,NA,-0.019,NA
782,-1.54602,4.3934,3.29609,NA,-0.018,NA
944,-1.54602,4.3934,3.28109,NA,-0.014,NA
1376,-1.54602,4.3934,3.28711,NA,-0.013,NA
1516,-1.54602,4.39493,3.28711,NA,-0.012,NA
1599,-1.56615,4.39493,3.28711,NA,-0.002,NA
1715,-1.56615,4.40247,3.28711,NA,-0.002,NA
1752,-1.56615,4.39879,3.28711,NA,-0.001,NA
2251,-1.56615,4.39879,3.28711,NA,-0.001,NA
4032,-1.559,4.39879,3.28711,NA,-0.001,NA
4137,-1.559,4.3988,3.28711,NA,-0.001,NA
4753,-1.56096,4.3988,3.28711,NA,0,NA
4873,-1.56096,4.40066,3.28711,NA,0,NA
5594,-1.56096,4.40066,3.28588,NA,0,NA
6035,-1.56096,4.40066,3.28508,NA,0,NA
7984,-1.56096,4.40066,3.28508,NA,NA,-13.539
