id,x0,x1,x2,fitness-2.5
72,-0.0338632,2.29793,-3.21947,-118.249
206,-0.0338632,2.29793,-3.50567,-104.507
237,1.94709,2.29793,-3.50567,-31.059
260,1.94709,1.88798,-3.50567,-23.179
274,1.73074,1.88798,-3.50567,-22.676
286,1.73074,1.88798,-4.36334,-3.979
333,1.73074,1.88798,-4.36334,-3.275
399,1.73074,1.88798,-4.36334,-3.012
412,1.73074,1.67934,-4.36334,-0.716
473,1.73074,1.67934,-4.36334,-0.549
501,1.73074,1.67934,-4.36091,-0.54
553,1.73074,1.61952,-4.36091,-0.318
638,1.73074,1.61952,-4.27799,-0.254
689,1.73074,1.61952,-4.27799,-0.079
786,1.75299,1.61952,-4.27799,-0.054
901,1.75299,1.59848,-4.27799,-0.035
1020,1.75557,1.59848,-4.27799,-0.035
1205,1.75557,1.59848,-4.2994,-0.004
1435,1.75557,1.59848,-4.2994,-0.004
1498,1.75557,1.59848,-4.2994,-0.004
2194,1.75557,1.59848,-4.31823,-0.004
2435,1.75557,1.59848,-4.30386,-0.001
3395,1.75557,1.59848,-4.30386,-0.001
4353,1.75615,1.59848,-4.30386,-0.001
4882,1.75615,1.59732,-4.30386,-0.001
5180,1.75615,1.59732,-4.30688,0
8052,1.75615,0.906199,-4.30688,-24.584
