id,x0,x1,x2,fitness-3.5,fitness-4,fitness-5,fitness-4.5
177,-2.41472,3.0022,-4.7486,-119.364,NA,NA,NA
259,-2.08927,3.08093,-3.97607,NA,-114.359,NA,NA
490,-1.90998,3.50401,-5,NA,-53.9,NA,NA
726,-1.99245,3.0736,-5,NA,NA,-61.11,NA
881,-2.33329,3.55409,-5,NA,NA,-54.241,NA
1069,-1.60606,3.76166,-5,NA,NA,NA,-15.796
1201,-1.23934,3.76379,-5,NA,NA,NA,-13.826
1562,-1.2902,3.44301,-5,NA,-19.059,NA,NA
1731,-1.25467,3.3203,-5,NA,NA,NA,-29.95
1966,-2.12213,3.91204,-5,NA,NA,-44.591,NA
2022,-2.10592,4.0236,-4.96667,NA,NA,-48.094,NA
2363,-1.5852,3.559,-5,NA,NA,-34.273,NA
2412,-1.41107,2.99069,-5,NA,NA,-60.882,NA
2604,-1.42946,2.97944,-4.93586,NA,NA,-53.392,NA
2878,-1.99294,3.57598,-5,NA,NA,NA,-34.742
3043,-1.84543,4.00254,-5,NA,NA,NA,-22.749
3267,-1.18335,4.02174,-5,NA,NA,NA,-28.981
3523,-1.17542,3.81288,-5,NA,NA,-59.253,NA
3687,-2.4373,3.86501,-4.90879,NA,NA,NA,-45.098
3805,-2.34979,3.98142,-4.96204,NA,NA,-60.044,NA
4150,-1.62986,3.73315,-5,NA,NA,-35.05,NA
4302,-1.58171,3.68957,-4.75113,NA,NA,-47.142,NA
4552,-1.67229,3.46394,-5,NA,-28.519,NA,NA
4606,-1.60131,3.71481,-5,NA,NA,NA,-23.007
4898,-1.34857,4.05492,-5,NA,NA,NA,-25.796
5137,-1.92057,3.34903,-5,NA,-54.337,NA,NA
5216,-1.76295,3.8088,-5,NA,NA,NA,-9.477
5464,-1.40959,4.13042,-5,NA,NA,NA,-35.449
5674,-1.87061,3.4329,-5,NA,NA,NA,-24.995
5977,-1.98457,4.15002,-5,NA,NA,-56.674,NA
6123,-1.96901,4.44998,-4.60245,NA,NA,-59.695,NA
6204,-1.7306,4.09246,-5,NA,NA,NA,-29.353
6589,-2.09804,3.54373,-5,NA,NA,-54.919,NA
6637,-1.5533,3.75802,-5,NA,NA,-43.315,NA
6804,-1.47258,3.89082,-4.85637,NA,NA,NA,-8.223
7104,-1.84088,3.85165,-4.86454,NA,NA,-44.919,NA
7267,-1.22067,3.66561,-5,NA,NA,-56.3,NA
7429,-1.55995,3.63153,-4.53261,NA,-33.068,NA,NA
7637,-1.36571,3.75267,-4.758,NA,-21.926,NA,NA
7821,-1.50659,3.27096,-5,NA,-31.195,NA,NA
8110,-1.38926,4.13836,-4.91244,NA,NA,NA,-34.314
8281,-1.55936,3.7248,-5,NA,NA,-44.264,NA
8587,-2.03023,3.99224,-5,NA,NA,-43.5,NA
8749,-1.42984,3.82478,-5,NA,-18.296,NA,NA
8876,-1.35605,3.71991,-4.95117,NA,NA,NA,-7.928
9153,-1.88402,3.45857,-5,NA,NA,NA,-22.539
