id,x0,x1,x2,fitness-3,fitness-2.5,fitness-2
125,-1.01595,3.66535,2.66591,-81.864,NA,NA
204,-1.01595,3.66535,2.66591,NA,-63.794,NA
220,-1.01595,4.65672,2.66591,NA,-35.401,NA
243,-1.01595,4.65672,3.16365,NA,-19.27,NA
266,-1.5558,4.65672,3.16365,NA,-4.888,NA
285,-1.5558,4.65672,3.3952,NA,-4.633,NA
334,-1.5558,4.50624,3.3952,NA,-2.684,NA
361,-1.5558,4.3818,3.3952,NA,-2.28,NA
370,-1.5558,4.3818,3.3952,NA,NA,-2.083
400,-1.5558,4.3818,3.3952,NA,NA,-0.926
424,-1.5558,4.3818,3.33597,NA,NA,-0.501
446,-1.5558,4.3818,3.33597,NA,NA,-0.159
638,-1.5558,4.3818,3.29142,NA,NA,-0.046
713,-1.5558,4.3818,3.29142,NA,NA,-0.031
844,-1.5558,4.3818,3.29142,NA,NA,-0.021
1030,-1.5558,4.3818,3.29142,NA,NA,-0.018
1379,-1.5558,4.39091,3.29142,NA,NA,-0.007
1415,-1.56606,4.39091,3.29142,NA,NA,-0.007
1513,-1.56606,4.39091,3.29142,NA,NA,-0.006
1763,-1.56606,4.39091,3.2906,NA,NA,-0.006
2424,-1.56606,4.40438,3.2906,NA,NA,-0.003
2537,-1.56598,4.40438,3.2906,NA,NA,-0.003
2830,-1.56598,4.40162,3.2906,NA,NA,-0.002
2939,-1.56598,4.40162,3.29054,NA,NA,-0.002
3092,-1.56598,4.40017,3.29054,NA,NA,-0.002
3594,-1.56598,4.40017,3.28801,NA,NA,-0.001
4109,-1.55757,4.40017,3.28801,NA,NA,-0.001
4334,-1.55757,4.40017,3.28583,NA,NA,-0.001
5297,-1.55798,4.40017,3.28583,NA,NA,-0.001
5968,-1.56426,4.40017,3.28583,NA,NA,0
6010,-1.56426,4.40017,3.28525,NA,NA,0
7900,-1.74582,4.40017,3.28525,NA,NA,-1.447
