x,y,fitness
-5.0,-5.0,-3203.72
-5.0,-4.47,-2537.57
-5.0,-3.95,-1894.64
-5.0,-3.42,-1654.53
-5.0,-2.89,-1926.4
-5.0,-2.37,-2419.76
-5.0,-1.84,-2642.0
-5.0,-1.32,-2212.76
-5.0,-0.79,-1866.69
-5.0,-0.26,-1293.93
-5.0,0.26,-1218.14
-5.0,0.79,-1115.49
-5.0,1.32,-1073.83
-5.0,1.84,-972.32
-5.0,2.37,-941.96
-5.0,2.89,-1178.51
-5.0,3.42,-694.63
-5.0,3.95,-1104.24
-5.0,4.47,-913.25
-5.0,5.0,-962.21
-4.47,-5.0,-2715.67
-4.47,-4.47,-2051.0
-4.47,-3.95,-1364.07
-4.47,-3.42,-1046.15
-4.47,-2.89,-1271.5
-4.47,-2.37,-1795.39
-4.47,-1.84,-2145.28
-4.47,-1.32,-1899.2
-4.47,-0.79,-1686.46
-4.47,-0.26,-1189.05
-4.47,0.26,-1094.98
-4.47,0.79,-1000.46
-4.47,1.32,-904.29
-4.47,1.84,-825.88
-4.47,2.37,-749.82
-4.47,2.89,-1075.79
-4.47,3.42,-648.15
-4.47,3.95,-1063.64
-4.47,4.47,-1023.83
-4.47,5.0,-1174.11
-3.95,-5.0,-2017.3
-3.95,-4.47,-1419.46
-3.95,-3.95,-748.71
-3.95,-3.42,-382.5
-3.95,-2.89,-596.58
-3.95,-2.37,-1148.98
-3.95,-1.84,-1610.34
-3.95,-1.32,-1477.71
-3.95,-0.79,-1329.94
-3.95,-0.26,-877.7
-3.95,0.26,-869.54
-3.95,0.79,-825.54
-3.95,1.32,-797.28
-3.95,1.84,-778.59
-3.95,2.37,-707.87
-3.95,2.89,-1042.55
-3.95,3.42,-665.06
-3.95,3.95,-1065.68
-3.95,4.47,-1112.14
-3.95,5.0,-1144.41
-3.42,-5.0,-1479.76
-3.42,-4.47,-1014.32
-3.42,-3.95,-423.29
-3.42,-3.42,-15.79
-3.42,-2.89,-244.23
-3.42,-2.37,-872.17
-3.42,-1.84,-1423.11
-3.42,-1.32,-1396.24
-3.42,-0.79,-1328.16
-3.42,-0.26,-971.53
-3.42,0.26,-932.46
-3.42,0.79,-831.02
-3.42,1.32,-750.76
-3.42,1.84,-753.8
-3.42,2.37,-618.08
-3.42,2.89,-879.86
-3.42,3.42,-493.68
-3.42,3.95,-927.84
-3.42,4.47,-872.7
-3.42,5.0,-930.71
-2.89,-5.0,-1333.77
-2.89,-4.47,-1046.75
-2.89,-3.95,-609.3
-2.89,-3.42,-318.95
-2.89,-2.89,-524.15
-2.89,-2.37,-1094.62
-2.89,-1.84,-1625.54
-2.89,-1.32,-1528.83
-2.89,-0.79,-1396.93
-2.89,-0.26,-958.64
-2.89,0.26,-766.81
-2.89,0.79,-622.19
-2.89,1.32,-538.38
-2.89,1.84,-485.98
-2.89,2.37,-431.51
-2.89,2.89,-761.93
-2.89,3.42,-513.05
-2.89,3.95,-1043.08
-2.89,4.47,-1103.47
-2.89,5.0,-1194.99
-2.37,-5.0,-1327.57
-2.37,-4.47,-1202.05
-2.37,-3.95,-910.2
-2.37,-3.42,-722.18
-2.37,-2.89,-861.21
-2.37,-2.37,-1247.91
-2.37,-1.84,-1622.75
-2.37,-1.32,-1437.57
-2.37,-0.79,-1215.79
-2.37,-0.26,-789.66
-2.37,0.26,-729.43
-2.37,0.79,-647.08
-2.37,1.32,-367.51
-2.37,1.84,-201.89
-2.37,2.37,-409.47
-2.37,2.89,-684.73
-2.37,3.42,-419.51
-2.37,3.95,-1035.17
-2.37,4.47,-1008.99
-2.37,5.0,-999.71
-1.84,-5.0,-1133.57
-1.84,-4.47,-1122.89
-1.84,-3.95,-977.58
-1.84,-3.42,-882.54
-1.84,-2.89,-1016.38
-1.84,-2.37,-1353.5
-1.84,-1.84,-1751.23
-1.84,-1.32,-1654.76
-1.84,-0.79,-1490.04
-1.84,-0.26,-1076.66
-1.84,0.26,-996.77
-1.84,0.79,-850.22
-1.84,1.32,-538.67
-1.84,1.84,-401.15
-1.84,2.37,-493.58
-1.84,2.89,-548.59
-1.84,3.42,-222.4
-1.84,3.95,-357.96
-1.84,4.47,-1898.91
-1.84,5.0,-1534.11
-1.32,-5.0,-757.82
-1.32,-4.47,-732.13
-1.32,-3.95,-640.6
-1.32,-3.42,-658.26
-1.32,-2.89,-784.41
-1.32,-2.37,-1019.78
-1.32,-1.84,-1332.5
-1.32,-1.32,-1162.98
-1.32,-0.79,-1084.89
-1.32,-0.26,-843.97
-1.32,0.26,-802.74
-1.32,0.79,-654.96
-1.32,1.32,-586.96
-1.32,1.84,-639.06
-1.32,2.37,-445.76
-1.32,2.89,-443.74
-1.32,3.42,-181.05
-1.32,3.95,-282.99
