x,y,z,fitness
-5.0,-5.0,-5.0,-2021.82
-5.0,-5.0,-4.47,-1812.77
-5.0,-5.0,-3.95,-1735.28
-5.0,-5.0,-3.42,-1717.87
-5.0,-5.0,-2.89,-1934.6
-5.0,-5.0,-2.37,-2206.11
-5.0,-5.0,-1.84,-2056.06
-5.0,-5.0,-1.32,-1771.61
-5.0,-5.0,-0.79,-1717.81
-5.0,-5.0,-0.26,-2309.43
-5.0,-5.0,0.26,-3114.59
-5.0,-5.0,0.79,-3920.69
-5.0,-5.0,1.32,-4232.98
-5.0,-5.0,1.84,-4108.59
-5.0,-5.0,2.37,-3554.37
-5.0,-5.0,2.89,-2931.93
-5.0,-5.0,3.42,-2529.28
-5.0,-5.0,3.95,-2511.06
-5.0,-5.0,4.47,-2775.88
-5.0,-5.0,5.0,-2968.62
-5.0,-4.47,-5.0,-1714.82
-5.0,-4.47,-4.47,-1597.72
-5.0,-4.47,-3.95,-1591.47
-5.0,-4.47,-3.42,-1620.34
-5.0,-4.47,-2.89,-1882.45
-5.0,-4.47,-2.37,-2142.28
-5.0,-4.47,-1.84,-2093.89
-5.0,-4.47,-1.32,-1791.66
-5.0,-4.47,-0.79,-1817.66
-5.0,-4.47,-0.26,-2379.48
-5.0,-4.47,0.26,-3089.68
-5.0,-4.47,0.79,-3617.36
-5.0,-4.47,1.32,-3750.07
-5.0,-4.47,1.84,-3562.98
-5.0,-4.47,2.37,-3205.1
-5.0,-4.47,2.89,-2941.96
-5.0,-4.47,3.42,-2967.56
-5.0,-4.47,3.95,-3309.99
-5.0,-4.47,4.47,-3724.4
-5.0,-4.47,5.0,-3918.13
-5.0,-3.95,-5.0,-1581.22
-5.0,-3.95,-4.47,-1475.95
-5.0,-3.95,-3.95,-1486.33
-5.0,-3.95,-3.42,-1579.22
-5.0,-3.95,-2.89,-1849.61
-5.0,-3.95,-2.37,-2146.21
-5.0,-3.95,-1.84,-2226.33
-5.0,-3.95,-1.32,-2143.14
-5.0,-3.95,-0.79,-2268.96
