x0,x1,x2,fitness0
0.25,0.25,0,-0.963
0.25,0.75,0,-0.612
0.25,1.25,0,-0.087
0.25,1.75,0,-0.798
0.25,2.25,0,0.002
0.25,2.75,0,-0.8
0.25,3.25,0,-0.833
0.25,3.75,0,-0.178
0.25,4.25,0,-0.009
0.25,4.75,0,-0.418
0.25,5.25,0,-0.865
0.25,5.75,0,-0.97
0.25,6.25,0,-0.731
0.25,6.75,0,-0.36
0.25,7.25,0,-0.072
0.25,7.75,0,0.018
0.25,8.25,0,-0.093
0.25,8.75,0,-0.333
0.25,9.25,0,-0.607
0.25,9.75,0,-0.833
0.25,10.25,0,-0.961
0.75,0.25,0,-0.612
0.75,0.75,0,-0.262
0.75,1.25,0,0.264
0.75,1.75,0,-0.448
0.75,2.25,0,0.353
0.75,2.75,0,-0.45
0.75,3.25,0,-0.482
0.75,3.75,0,0.172
0.75,4.25,0,0.342
0.75,4.75,0,-0.068
0.75,5.25,0,-0.514
0.75,5.75,0,-0.62
0.75,6.25,0,-0.381
0.75,6.75,0,-0.009
0.75,7.25,0,0.279
0.75,7.75,0,0.368
0.75,8.25,0,0.257
0.75,8.75,0,0.017
0.75,9.25,0,-0.257
0.75,9.75,0,-0.483
0.75,10.25,0,-0.61
1.25,0.25,0,-0.087
1.25,0.75,0,0.264
1.25,1.25,0,0.79
1.25,1.75,0,0.078
1.25,2.25,0,0.879
1.25,2.75,0,0.076
1.25,3.25,0,0.043
1.25,3.75,0,0.698
1.25,4.25,0,0.867
1.25,4.75,0,0.458
1.25,5.25,0,0.011
1.25,5.75,0,-0.094
1.25,6.25,0,0.145
1.25,6.75,0,0.516
1.25,7.25,0,0.805
1.25,7.75,0,0.894
1.25,8.25,0,0.783
1.25,8.75,0,0.543
1.25,9.25,0,0.269
1.25,9.75,0,0.043
1.25,10.25,0,-0.084
1.75,0.25,0,-0.798
1.75,0.75,0,-0.448
1.75,1.25,0,0.078
1.75,1.75,0,-0.634
1.75,2.25,0,0.167
1.75,2.75,0,-0.636
1.75,3.25,0,-0.669
1.75,3.75,0,-0.014
1.75,4.25,0,0.156
1.75,4.75,0,-0.254
1.75,5.25,0,-0.701
1.75,5.75,0,-0.806
1.75,6.25,0,-0.567
1.75,6.75,0,-0.195
1.75,7.25,0,0.093
1.75,7.75,0,0.182
1.75,8.25,0,0.071
1.75,8.75,0,-0.169
1.75,9.25,0,-0.443
1.75,9.75,0,-0.669
1.75,10.25,0,-0.796
2.25,0.25,0,0.002
2.25,0.75,0,0.353
2.25,1.25,0,0.879
2.25,1.75,0,0.167
2.25,2.25,0,0.968
2.25,2.75,0,0.165
2.25,3.25,0,0.132
2.25,3.75,0,0.787
2.25,4.25,0,0.956
2.25,4.75,0,0.547
2.25,5.25,0,0.1
2.25,5.75,0,-0.005
2.25,6.25,0,0.234
2.25,6.75,0,0.605
2.25,7.25,0,0.894
2.25,7.75,0,0.983
2.25,8.25,0,0.872
2.25,8.75,0,0.632
2.25,9.25,0,0.358
2.25,9.75,0,0.132
2.25,10.25,0,0.005
2.75,0.25,0,-0.8
2.75,0.75,0,-0.45
