x0,x1,fitness
-5.0,-5.0,-1593.94
-5.0,-4.5,-1607.054
-5.0,-4.0,-1612.513
-5.0,-3.5,-1623.57
-5.0,-3.0,-1624.919
-5.0,-2.5,-1621.148
-5.0,-2.0,-1613.894
-5.0,-1.5,-1610.178
-5.0,-1.0,-1572.879
-5.0,-0.5,-1651.36
-5.0,0.0,-1625.248
-5.0,0.5,-1614.348
-5.0,1.0,-1355.861
-5.0,1.5,-1112.145
-5.0,2.0,-1156.801
-5.0,2.5,-1256.317
-5.0,3.0,-1513.279
-5.0,3.5,-1157.065
-5.0,4.0,-1019.132
-5.0,4.5,-830.162
-5.0,5.0,-736.898
-4.5,-5.0,-1341.691
-4.5,-4.5,-1129.106
-4.5,-4.0,-964.705
-4.5,-3.5,-897.543
-4.5,-3.0,-909.914
-4.5,-2.5,-1009.673
-4.5,-2.0,-1185.486
-4.5,-1.5,-1421.649
-4.5,-1.0,-1610.842
-4.5,-0.5,-1823.26
-4.5,0.0,-1736.237
-4.5,0.5,-1631.294
-4.5,1.0,-1320.174
-4.5,1.5,-1057.826
-4.5,2.0,-1091.053
-4.5,2.5,-1174.099
-4.5,3.0,-1397.31
-4.5,3.5,-1027.899
-4.5,4.0,-871.844
-4.5,4.5,-681.182
-4.5,5.0,-588.505
-4.0,-5.0,-1138.583
-4.0,-4.5,-763.135
-4.0,-4.0,-464.066
-4.0,-3.5,-329.605
-4.0,-3.0,-354.193
-4.0,-2.5,-544.855
-4.0,-2.0,-861.347
-4.0,-1.5,-1275.462
-4.0,-1.0,-1605.757
-4.0,-0.5,-1861.151
-4.0,0.0,-1690.605
-4.0,0.5,-1526.666
-4.0,1.0,-1190.733
-4.0,1.5,-921.965
-4.0,2.0,-950.362
-4.0,2.5,-1024.28
-4.0,3.0,-1224.663
-4.0,3.5,-859.975
-4.0,4.0,-705.449
-4.0,4.5,-529.517
-4.0,5.0,-448.539
-3.5,-5.0,-1072.54
-3.5,-4.5,-636.78
-3.5,-4.0,-253.029
-3.5,-3.5,-36.784
-3.5,-3.0,-81.336
-3.5,-2.5,-362.847
-3.5,-2.0,-752.067
-3.5,-1.5,-1257.583
-3.5,-1.0,-1672.387
-3.5,-0.5,-2005.577
-3.5,0.0,-1866.86
-3.5,0.5,-1729.635
-3.5,1.0,-1401.201
-3.5,1.5,-1127.419
-3.5,2.0,-1134.23
-3.5,2.5,-1165.52
-3.5,3.0,-1294.392
-3.5,3.5,-879.173
-3.5,4.0,-672.483
-3.5,4.5,-468.035
-3.5,5.0,-369.327
-3.0,-5.0,-1112.258
-3.0,-4.5,-741.689
-3.0,-4.0,-374.44
-3.0,-3.5,-213.835
-3.0,-3.0,-256.53
