x,y,z,fitness
-5.0,-5.0,-5.0,-2680.43
-5.0,-5.0,-4.29,-2112.88
-5.0,-5.0,-3.57,-2257.53
-5.0,-5.0,-2.86,-1849.77
-5.0,-5.0,-2.14,-1831.48
-5.0,-5.0,-1.43,-2056.93
-5.0,-5.0,-0.71,-1777.7
-5.0,-5.0,0.0,-1590.7
-5.0,-5.0,0.71,-1308.91
-5.0,-5.0,1.43,-770.91
-5.0,-5.0,2.14,-711.58
-5.0,-5.0,2.86,-641.03
-5.0,-5.0,3.57,-478.91
-5.0,-5.0,4.29,-713.01
-5.0,-5.0,5.0,-695.16
-5.0,-4.29,-5.0,-2256.1
-5.0,-4.29,-4.29,-2653.64
-5.0,-4.29,-3.57,-2631.0
-5.0,-4.29,-2.86,-1790.43
-5.0,-4.29,-2.14,-1919.62
-5.0,-4.29,-1.43,-2041.97
-5.0,-4.29,-0.71,-1342.5
-5.0,-4.29,0.0,-1475.06
-5.0,-4.29,0.71,-1014.95
-5.0,-4.29,1.43,-769.05
-5.0,-4.29,2.14,-762.72
-5.0,-4.29,2.86,-592.02
-5.0,-4.29,3.57,-533.01
-5.0,-4.29,4.29,-643.38
-5.0,-4.29,5.0,-1007.76
-5.0,-3.57,-5.0,-1946.08
-5.0,-3.57,-4.29,-2690.81
-5.0,-3.57,-3.57,-2765.53
-5.0,-3.57,-2.86,-2652.7
-5.0,-3.57,-2.14,-2728.34
-5.0,-3.57,-1.43,-1660.34
-5.0,-3.57,-0.71,-1531.66
-5.0,-3.57,0.0,-1290.17
-5.0,-3.57,0.71,-998.54
-5.0,-3.57,1.43,-769.65
-5.0,-3.57,2.14,-802.68
-5.0,-3.57,2.86,-668.92
-5.0,-3.57,3.57,-647.65
-5.0,-3.57,4.29,-993.23
-5.0,-3.57,5.0,-732.8
-5.0,-2.86,-5.0,-1928.73
-5.0,-2.86,-4.29,-2359.94
-5.0,-2.86,-3.57,-1866.86
-5.0,-2.86,-2.86,-2020.61
-5.0,-2.86,-2.14,-2440.07
-5.0,-2.86,-1.43,-2342.73
-5.0,-2.86,-0.71,-1724.78
-5.0,-2.86,0.0,-1821.76
-5.0,-2.86,0.71,-1036.79
-5.0,-2.86,1.43,-937.21
-5.0,-2.86,2.14,-977.08
-5.0,-2.86,2.86,-690.9
-5.0,-2.86,3.57,-803.84
-5.0,-2.86,4.29,-946.03
-5.0,-2.86,5.0,-1182.42
-5.0,-2.14,-5.0,-2369.23
-5.0,-2.14,-4.29,-2159.88
-5.0,-2.14,-3.57,-1529.9
-5.0,-2.14,-2.86,-2017.05
-5.0,-2.14,-2.14,-2439.4
-5.0,-2.14,-1.43,-1486.34
-5.0,-2.14,-0.71,-1810.86
-5.0,-2.14,0.0,-1767.75
-5.0,-2.14,0.71,-1411.59
-5.0,-2.14,1.43,-1116.02
-5.0,-2.14,2.14,-1107.23
-5.0,-2.14,2.86,-1070.05
-5.0,-2.14,3.57,-1025.73
-5.0,-2.14,4.29,-1340.83
-5.0,-2.14,5.0,-1262.83
-5.0,-1.43,-5.0,-3158.5
-5.0,-1.43,-4.29,-2410.79
-5.0,-1.43,-3.57,-1962.54
-5.0,-1.43,-2.86,-2251.17
-5.0,-1.43,-2.14,-1717.44
-5.0,-1.43,-1.43,-1681.21
-5.0,-1.43,-0.71,-2058.49
-5.0,-1.43,0.0,-2035.91
-5.0,-1.43,0.71,-1354.48
-5.0,-1.43,1.43,-1480.26
-5.0,-1.43,2.14,-1547.78
-5.0,-1.43,2.86,-1143.52
-5.0,-1.43,3.57,-1183.82
-5.0,-1.43,4.29,-1510.82
-5.0,-1.43,5.0,-1576.87
-5.0,-0.71,-5.0,-1958.97
-5.0,-0.71,-4.29,-1977.44
-5.0,-0.71,-3.57,-2450.34
-5.0,-0.71,-2.86,-2493.12
-5.0,-0.71,-2.14,-2256.64
-5.0,-0.71,-1.43,-1806.34
-5.0,-0.71,-0.71,-1664.19
-5.0,-0.71,0.0,-1843.14
-5.0,-0.71,0.71,-1373.07
-5.0,-0.71,1.43,-1443.52
