id,x0,x1,x2,fitness-2.5
159,2.05243,1.44891,-4.87023,-14.348
219,2.05243,1.44891,-3.85915,-12.269
239,2.05243,1.44891,-4.30889,-5.179
265,1.80175,1.44891,-4.30889,-2.408
291,1.80175,1.60985,-4.30889,-1.443
325,1.80175,1.60985,-4.30889,-0.775
387,1.80175,1.60985,-4.30889,-0.087
430,1.79252,1.60985,-4.30889,-0.062
519,1.79252,1.58633,-4.30889,-0.059
554,1.76126,1.58633,-4.30889,-0.018
579,1.76126,1.60475,-4.30889,-0.017
904,1.76126,1.60475,-4.30889,-0.015
1811,1.76126,1.60475,-4.30889,-0.003
2041,1.76126,1.59336,-4.30889,-0.001
2539,1.75603,1.59336,-4.30889,0
4079,1.75858,1.59336,-4.30889,0
4846,1.75858,1.59336,-4.30889,0
5199,1.75858,1.59336,-4.30889,0
7323,1.75699,1.59336,-4.30889,0
7570,1.75826,1.59336,-4.30889,0
8038,1.04444,1.59336,-4.30889,-18.36
