id,x0,x1,x2,fitness-2.5,fitness-2
56,-1.32781,4.3934,3.77586,-15.936,NA
223,-1.32781,4.3934,3.77586,NA,-12.071
246,-1.74199,4.3934,3.77586,NA,-10.191
265,-1.74199,4.45291,3.77586,NA,-10.159
299,-1.74199,4.45291,3.53037,NA,-3.879
324,-1.74199,4.45291,3.33154,NA,-1.645
336,-1.74199,4.38642,3.33154,NA,-1.554
363,-1.59888,4.38642,3.33154,NA,-0.23
479,-1.59888,4.38642,3.33154,NA,-0.182
528,-1.59888,4.38642,3.33154,NA,-0.163
561,-1.59888,4.38642,3.26942,NA,-0.082
818,-1.53256,4.38642,3.26942,NA,-0.059
1042,-1.57201,4.38642,3.26942,NA,-0.026
1107,-1.57201,4.38642,3.29574,NA,-0.019
1446,-1.55525,4.38642,3.29574,NA,-0.016
1711,-1.55525,4.38642,3.27968,NA,-0.013
1875,-1.55525,4.39431,3.27968,NA,-0.006
1905,-1.55525,4.39431,3.27968,NA,-0.006
2038,-1.55525,4.39431,3.28633,NA,-0.005
2115,-1.55525,4.39468,3.28633,NA,-0.004
2810,-1.56255,4.39468,3.28633,NA,-0.003
3082,-1.56255,4.39687,3.28633,NA,-0.002
4089,-1.56255,4.39695,3.28633,NA,-0.002
4943,-1.56255,4.39695,3.28633,NA,-0.001
5297,-1.56255,4.39695,3.28633,NA,-0.001
5654,-1.56255,4.39787,3.28633,NA,-0.001
5940,-1.56255,4.39787,3.28633,NA,0
7605,-1.56255,4.39787,3.28577,NA,0
8128,-1.56255,2.9023,3.28577,NA,-86.314
