id,x0,x1,x2,fitness-4,fitness-3,fitness-2,fitness-1
176,-1.40887,4.95498,-1.50103,4582.829,NA,NA,NA
231,-1.40887,4.95498,-1.50103,NA,5850.901,NA,NA
257,-1.40887,4.95498,-1.49696,NA,5895.31,NA,NA
292,-1.40887,4.95498,-1.44122,NA,6266.31,NA,NA
339,-1.40887,4.94226,-1.44122,NA,6470.762,NA,NA
365,-1.40887,4.94226,-1.44122,NA,6625.477,NA,NA
379,-1.40887,4.89478,-1.44122,NA,7151.057,NA,NA
446,-1.40887,4.89478,-1.44122,NA,NA,11202.53,NA
528,-1.40887,4.89478,-1.44122,NA,NA,NA,26905.088
592,-1.40887,4.89478,-1.44122,NA,NA,NA,29947.444
623,-1.40887,4.89478,-1.43002,NA,NA,NA,30035.054
728,-1.40887,4.87828,-1.43002,NA,NA,NA,30396.6
747,-1.40887,4.87593,-1.43002,NA,NA,NA,30430.976
952,-1.40887,4.87593,-1.43002,NA,NA,NA,30494.989
1249,-1.42446,4.87593,-1.43002,NA,NA,NA,30596.196
1434,-1.42446,4.84509,-1.43002,NA,NA,NA,30655.056
1861,-1.42446,4.86001,-1.43002,NA,NA,NA,30717.783
2126,-1.42446,4.86001,-1.42603,NA,NA,NA,30726.634
2287,-1.42446,4.86001,-1.42603,NA,NA,NA,30918.136
2409,-1.42446,4.85893,-1.42603,NA,NA,NA,30919.315
2741,-1.42553,4.85893,-1.42603,NA,NA,NA,30919.425
2769,-1.42553,4.85893,-1.42603,NA,NA,NA,30931.285
2923,-1.42553,4.85893,-1.42603,NA,NA,NA,30933.114
5577,-1.42499,4.85893,-1.42603,NA,NA,NA,30933.169
5804,-1.42499,4.85893,-1.42429,NA,NA,NA,30933.211
7854,-1.42499,4.85893,-1.42568,NA,NA,NA,30933.365
8181,-1.04251,4.85893,-1.42568,NA,NA,NA,-13098.641
