id,x0,x1,x2,fitness-3.5,fitness-4,fitness-3,fitness-1,fitness-2,fitness-2.5,fitness-1.5,fitness0,fitness0.5,fitness-4.5,fitness-5,fitness-0.5
138,0.663789,3.65323,-2.23043,-254.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,1.63526,2.85497,-3.20051,NA,-124.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,1.8594,3.19245,-2.50049,NA,NA,-155.984,NA,NA,NA,NA,NA,NA,NA,NA,NA
680,2.28968,2.87292,-2.42235,NA,NA,NA,-185.254,NA,NA,NA,NA,NA,NA,NA,NA
858,4.12186,3.43728,-3.65352,NA,NA,NA,NA,-212.019,NA,NA,NA,NA,NA,NA,NA
1022,3.32093,2.77703,-4.94868,NA,NA,NA,NA,NA,-87.233,NA,NA,NA,NA,NA,NA
1254,3.1733,3.52094,-5,NA,NA,NA,-178.538,NA,NA,NA,NA,NA,NA,NA,NA
1407,3.64297,2.61158,-4.6444,NA,NA,NA,-145.305,NA,NA,NA,NA,NA,NA,NA,NA
1674,2.21715,2.661,-3.85678,NA,NA,NA,NA,NA,NA,-50.454,NA,NA,NA,NA,NA
1826,1.21329,2.98999,-4.80545,NA,NA,NA,NA,NA,-52.427,NA,NA,NA,NA,NA,NA
2129,1.06187,3.06881,-4.60223,NA,NA,NA,NA,NA,-58.699,NA,NA,NA,NA,NA,NA
2297,2.12033,2.40321,-4.53269,NA,NA,NA,NA,NA,-19.899,NA,NA,NA,NA,NA,NA
2494,1.74686,3.81281,-4.02011,NA,NA,NA,NA,-107.859,NA,NA,NA,NA,NA,NA,NA
2739,1.62019,3.96846,-5,NA,NA,NA,NA,-128.601,NA,NA,NA,NA,NA,NA,NA
2848,2.5159,2.84013,-5,NA,NA,NA,NA,NA,-54.76,NA,NA,NA,NA,NA,NA
3062,1.56,2.70929,-5,NA,NA,NA,NA,NA,NA,NA,-144.363,NA,NA,NA,NA
3242,1.05789,1.73653,-5,NA,NA,NA,-101.517,NA,NA,NA,NA,NA,NA,NA,NA
3486,2.62879,1.60939,-5,NA,NA,NA,NA,NA,NA,-46.051,NA,NA,NA,NA,NA
3635,1.48706,1.39319,-5,NA,NA,NA,NA,-26.892,NA,NA,NA,NA,NA,NA,NA
3984,2.57448,0.975862,-4.77684,NA,NA,NA,NA,NA,NA,-64.92,NA,NA,NA,NA,NA
4054,2.0859,2.03944,-5,NA,NA,NA,NA,-21.391,NA,NA,NA,NA,NA,NA,NA
4317,3.19346,2.32051,-3.91125,NA,NA,NA,NA,NA,NA,-80.742,NA,NA,NA,NA,NA
4596,3.24698,2.49922,-3.4666,NA,NA,NA,NA,-94.518,NA,NA,NA,NA,NA,NA,NA
4796,2.28319,3.00708,-3.87864,NA,NA,NA,NA,-57.746,NA,NA,NA,NA,NA,NA,NA
4868,3.06782,4.28516,-4.62757,NA,NA,NA,NA,NA,-183.978,NA,NA,NA,NA,NA,NA
5023,2.733,3.10462,-4.40997,-82.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5222,2.3477,2.34626,-5,NA,NA,-36.209,NA,NA,NA,NA,NA,NA,NA,NA,NA
5448,2.82834,3.06726,-5,NA,NA,NA,NA,NA,-78.091,NA,NA,NA,NA,NA,NA
5750,2.0177,1.50118,-5,NA,NA,NA,NA,NA,NA,NA,NA,-196.123,NA,NA,NA
5856,2.53557,1.26938,-3.56847,NA,NA,NA,NA,NA,NA,-73.644,NA,NA,NA,NA,NA
6083,2.45288,1.29091,-4.56393,NA,NA,NA,NA,NA,NA,-48.787,NA,NA,NA,NA,NA
6263,1.01611,1.11392,-5,NA,NA,NA,NA,NA,NA,-80.51,NA,NA,NA,NA,NA
6403,1.06727,1.07573,-5,NA,NA,NA,-119.625,NA,NA,NA,NA,NA,NA,NA,NA
6726,1.34755,2.51133,-5,NA,NA,NA,-82.626,NA,NA,NA,NA,NA,NA,NA,NA
6981,0.940746,1.66891,-2.86867,NA,NA,-77.841,NA,NA,NA,NA,NA,NA,NA,NA,NA
7107,0.946873,2.14923,-3.84637,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.204,NA,NA
7270,2.43687,2.20266,-4.4156,NA,-70.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7565,1.72229,1.54723,-3.17021,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.662,NA,NA
7693,1.92469,1.21099,-3.7426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.282,NA
7896,1.11273,0.833578,-4.56243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.708,NA
8172,1.29082,0.460272,-3.94215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-195.126,NA
8367,2.40431,1.26153,-3.44359,NA,NA,NA,NA,NA,NA,NA,NA,NA,-126.646,NA,NA
8416,2.33066,2.86392,-4.17004,NA,NA,NA,NA,NA,NA,NA,NA,NA,-145.895,NA,NA
8628,2.80415,2.4335,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-131.753,NA,NA
8973,2.12775,1.60248,-4.54139,-37.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9006,1.49922,0.896779,-5,-62.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9268,0.929065,1.40623,-5,NA,NA,-42.669,NA,NA,NA,NA,NA,NA,NA,NA,NA
9463,0.324829,1.64527,-4.24616,-80.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9649,0.654446,2.35076,-4.78059,NA,NA,-47.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
9848,1.7415,0.536563,-5,NA,NA,NA,NA,NA,-80.852,NA,NA,NA,NA,NA,NA
10189,3.95484,1.84682,-5,NA,-149.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10350,2.50396,0.99849,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.438,NA,NA
10590,1.70224,2.09259,-4.62821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.558,NA
10735,-0.161548,2.29937,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-163.873,NA,NA
10835,0.114912,3.55334,-5,NA,NA,-148.946,NA,NA,NA,NA,NA,NA,NA,NA,NA
11082,0.457641,3.18757,-4.23884,-101.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11225,0.920054,2.92174,-3.6749,NA,NA,-68.787,NA,NA,NA,NA,NA,NA,NA,NA,NA
11545,1.50011,0.71811,-4.37852,NA,NA,NA,NA,-59.885,NA,NA,NA,NA,NA,NA,NA
11792,1.10685,0.441619,-4.63424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-203.985,NA
11843,0.0591936,0.0637109,-4.56343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-341.127,NA
12042,-0.207464,0.0639366,-3.7823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-376.446,NA
12208,0.578453,0.969322,-4.48634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.652,NA
12595,1.72154,-0.0487244,-4.94947,-171.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12719,1.59707,1.30408,-5,NA,NA,NA,NA,NA,-20.885,NA,NA,NA,NA,NA,NA
12815,1.71772,1.0963,-4.43915,NA,NA,NA,NA,NA,-12.916,NA,NA,NA,NA,NA,NA
13037,2.67467,1.33308,-5,NA,NA,NA,NA,NA,NA,-53.82,NA,NA,NA,NA,NA
13249,2.38693,4.39719,-3.77759,NA,NA,-189.413,NA,NA,NA,NA,NA,NA,NA,NA,NA
13406,2.96121,5,-3.45884,NA,NA,NA,NA,NA,NA,-299.759,NA,NA,NA,NA,NA
13608,2.67909,4.03899,-3.4119,NA,NA,NA,NA,-167.579,NA,NA,NA,NA,NA,NA,NA
13825,3.27869,3.32878,-3.17775,NA,NA,NA,NA,-159.804,NA,NA,NA,NA,NA,NA,NA
14179,1.41906,1.9938,-3.04335,NA,NA,-51.454,NA,NA,NA,NA,NA,NA,NA,NA,NA
14264,1.2819,3.19765,-3.65438,NA,NA,-78.372,NA,NA,NA,NA,NA,NA,NA,NA,NA
14527,1.94901,1.74311,-5,NA,NA,NA,NA,-24.292,NA,NA,NA,NA,NA,NA,NA
14712,1.40702,3.04547,-5,NA,NA,NA,NA,-57.956,NA,NA,NA,NA,NA,NA,NA
14965,-0.0362865,1.02223,-4.85773,NA,NA,-122.683,NA,NA,NA,NA,NA,NA,NA,NA,NA
15086,1.02107,-0.302977,-2.9865,NA,NA,NA,NA,NA,NA,NA,NA,NA,-327.3,NA,NA
15233,0.0977354,0.491319,-2.90826,NA,NA,NA,NA,NA,NA,NA,NA,NA,-267.156,NA,NA
15422,0.784963,2.84886,-3.65454,NA,-96.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15685,-1.52774,2.08397,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-314.612,NA,NA
15960,0.641478,2.44895,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.673,NA,NA
16139,0.785688,1.21609,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.996,NA,NA
16280,0.361706,1.13177,-4.74135,NA,NA,NA,NA,NA,NA,NA,NA,NA,-140.72,NA,NA
16502,0.366314,1.07677,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-201.163,NA
16731,1.17382,0.851117,-3.61106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180.317,NA
16816,1.73728,1.65799,-4.20528,NA,NA,-9.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
17001,0.695068,2.3994,-3.79467,NA,NA,NA,NA,NA,-49.871,NA,NA,NA,NA,NA,NA
17385,2.17614,2.32334,-5,NA,NA,NA,NA,NA,-26.545,NA,NA,NA,NA,NA,NA
17499,0.816819,3.47113,-5,NA,NA,NA,NA,-108.51,NA,NA,NA,NA,NA,NA,NA
17762,0.994949,1.26625,-5,NA,NA,-45.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
17910,1.60706,0.647061,-5,NA,NA,NA,NA,NA,-66.665,NA,NA,NA,NA,NA,NA
18094,0.594944,1.50269,-5,NA,NA,-61.021,NA,NA,NA,NA,NA,NA,NA,NA,NA
18296,0.834121,3.23571,-5,NA,NA,NA,NA,NA,-82.947,NA,NA,NA,NA,NA,NA
18488,1.78118,3.83781,-3.72305,-126.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18622,2.04834,3.71194,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-172.406,NA,NA
18848,1.0735,3.12347,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-143.699,NA,NA
19054,1.56097,2.40255,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.862,NA,NA
19232,1.66165,1.59909,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.307,NA,NA
19449,0.281886,1.57841,-5,-97.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19711,0.904478,0.952108,-4.29938,NA,NA,-58.218,NA,NA,NA,NA,NA,NA,NA,NA,NA
19975,2.21596,1.7853,-4.25358,NA,-56.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20119,1.41581,2.10842,-4.30824,NA,-57.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20238,1.21285,2.57399,-3.94748,NA,-63.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20422,2.35291,2.74434,-2.76331,NA,NA,-117.599,NA,NA,NA,NA,NA,NA,NA,NA,NA
20678,3.0729,0.835648,-4.14105,NA,NA,NA,NA,NA,-66.329,NA,NA,NA,NA,NA,NA
20823,3.53603,1.57317,-3.60514,-130.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21150,1.99182,1.67241,-2.90128,NA,NA,NA,NA,NA,-59.77,NA,NA,NA,NA,NA,NA
21375,2.98916,1.9143,-5,NA,NA,NA,NA,NA,-46.893,NA,NA,NA,NA,NA,NA
21489,2.05912,2.86951,-4.38985,NA,NA,NA,NA,NA,-37.306,NA,NA,NA,NA,NA,NA
21625,2.23963,3.23313,-4.39083,NA,NA,NA,NA,NA,-61.582,NA,NA,NA,NA,NA,NA
21808,1.47101,2.22106,-2.87882,NA,NA,NA,NA,NA,-66.922,NA,NA,NA,NA,NA,NA
22172,1.82275,2.21291,-3.1721,NA,NA,NA,NA,NA,NA,-74.826,NA,NA,NA,NA,NA
22369,1.676,2.01891,-4.21697,NA,NA,NA,NA,-14.787,NA,NA,NA,NA,NA,NA,NA
22564,1.88188,1.75739,-3.90877,NA,NA,NA,NA,-15.864,NA,NA,NA,NA,NA,NA,NA
22737,2.03839,1.7881,-3.79085,NA,NA,NA,NA,-14.938,NA,NA,NA,NA,NA,NA,NA
22988,1.07369,1.67555,-4.44673,NA,NA,NA,NA,NA,NA,-43.796,NA,NA,NA,NA,NA
23109,1.17244,3.06347,-5,NA,NA,NA,-111.102,NA,NA,NA,NA,NA,NA,NA,NA
23320,0.157939,2.86602,-4.2008,NA,NA,NA,NA,NA,NA,NA,-236.191,NA,NA,NA,NA
23567,0.525272,2.21472,-5,NA,NA,NA,NA,NA,NA,NA,-174.478,NA,NA,NA,NA
23689,1.11851,1.41755,-4.40053,NA,NA,NA,NA,NA,-18.611,NA,NA,NA,NA,NA,NA
23862,1.58011,1.56126,-5,NA,NA,NA,NA,NA,-17.462,NA,NA,NA,NA,NA,NA
24197,1.99301,2.21662,-4.85132,NA,NA,-19.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
24321,2.42085,2.60166,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.965,NA,NA
24502,2.81074,2.6899,-3.13899,NA,-175.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24608,2.7442,3.18199,-4.61807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-203.61,NA
24916,2.94131,3.10549,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212.897,NA
25083,1.99103,3.33156,-5,NA,-120.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25362,1.34638,2.59916,-5,NA,-91.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25473,0.781142,0.540648,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-186.819,NA,NA
25775,1.45866,0.753715,-3.97726,NA,NA,-50.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
25836,1.90909,1.0712,-3.64403,NA,NA,-39.784,NA,NA,NA,NA,NA,NA,NA,NA,NA
26160,2.28068,2.41645,-3.76448,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.161,NA,NA
26259,3.11355,2.5054,-4.43322,-71.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26470,2.43368,1.99428,-4.42776,NA,NA,-20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
26615,3.06143,0.854366,-4.82828,NA,NA,-75.322,NA,NA,NA,NA,NA,NA,NA,NA,NA
26846,2.46675,0.120104,-5,NA,NA,NA,NA,-136.72,NA,NA,NA,NA,NA,NA,NA
27043,1.82977,1.75135,-4.40004,-27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27345,2.32485,1.06213,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-136.421,NA
27443,2.42999,0.359378,-4.32399,-95.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27610,1.23161,1.31802,-4.69601,NA,-72.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27844,3.07651,1.38805,-4.57414,NA,NA,NA,NA,NA,-44.954,NA,NA,NA,NA,NA,NA
28131,2.48962,1.61238,-5,NA,NA,-27.951,NA,NA,NA,NA,NA,NA,NA,NA,NA
28270,1.75979,2.1603,-3.53717,NA,NA,NA,NA,NA,-25.477,NA,NA,NA,NA,NA,NA
28436,0.861845,0.948626,-5,NA,NA,NA,NA,NA,-76.327,NA,NA,NA,NA,NA,NA
28755,1.25578,0.8685,-5,-79.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28937,0.309986,1.54028,-4.20292,NA,-95.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29116,0.371542,1.25448,-4.9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,-141.346,NA,NA
29326,-0.221169,1.28777,-4.74164,NA,-155.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29527,0.194203,0.901618,-3.95458,-131.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29727,0.219236,0.979228,-4.64714,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.904,NA,NA
29973,0.822118,2.40318,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.229,NA,NA
30094,2.86384,1.76064,-5,-58.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30227,1.54087,1.21921,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.438,NA
30436,0.81382,1.68384,-4.82805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.855,NA
30724,2.11675,0.511583,-4.31182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.449,NA
30920,1.63514,1.27199,-4.1706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-140.133,NA
31152,0.668656,1.55506,-5,NA,-96.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31267,1.80723,0.900372,-4.63219,NA,NA,-29.047,NA,NA,NA,NA,NA,NA,NA,NA,NA
31505,2.15925,0.277773,-5,NA,NA,-100.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
31762,1.73726,1.08602,-5,NA,NA,NA,NA,-41.349,NA,NA,NA,NA,NA,NA,NA
31861,1.18672,1.17019,-5,NA,NA,-46.688,NA,NA,NA,NA,NA,NA,NA,NA,NA
32088,1.36538,2.46222,-5,NA,-68.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32343,2.23084,1.42736,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.792,NA
32599,1.2999,1.1266,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.992,NA,NA
32783,1.62528,0.671839,-5,NA,-98.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32936,1.98825,1.08164,-4.90131,NA,-64.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33144,2.21524,1.23781,-5,NA,-75.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33395,0.917123,1.76062,-5,NA,NA,NA,NA,NA,-36.284,NA,NA,NA,NA,NA,NA
33512,1.66064,1.60435,-4.68247,NA,NA,NA,NA,NA,-5.407,NA,NA,NA,NA,NA,NA
33785,0.418686,2.10062,-4.96242,NA,NA,NA,-101.826,NA,NA,NA,NA,NA,NA,NA,NA
33974,1.20616,1.92203,-5,NA,NA,NA,NA,NA,-25.644,NA,NA,NA,NA,NA,NA
34082,1.68901,2.38396,-3.12333,NA,NA,NA,NA,NA,NA,-83.172,NA,NA,NA,NA,NA
34234,0.672691,2.95136,-2.21358,NA,NA,NA,NA,NA,NA,-242.766,NA,NA,NA,NA,NA
34581,1.58689,2.06345,-3.07595,NA,NA,NA,-94.949,NA,NA,NA,NA,NA,NA,NA,NA
34765,1.85351,2.12587,-4.14932,NA,NA,NA,NA,NA,NA,-24.207,NA,NA,NA,NA,NA
34801,1.37919,1.97697,-3.72333,NA,NA,NA,NA,-30.193,NA,NA,NA,NA,NA,NA,NA
35091,0.988044,2.14857,-3.81891,-49.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35231,2.43193,3.43517,-5,NA,-148.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35472,1.77373,0.941321,-5,-55.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35688,2.0497,0.833634,-5,NA,NA,-46.997,NA,NA,NA,NA,NA,NA,NA,NA,NA
35848,3.00116,1.77028,-3.32129,NA,-121.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36053,2.63102,1.57079,-3.33482,NA,-108.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36285,1.17018,1.75614,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-149.973,NA
36446,0.748425,2.4446,-3.94127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-168.079,NA
36669,1.35675,1.89571,-5,-40.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36861,1.52561,0.916992,-5,NA,NA,-47.753,NA,NA,NA,NA,NA,NA,NA,NA,NA
37142,2.66062,2.33825,-4.27188,NA,NA,NA,NA,NA,-32.427,NA,NA,NA,NA,NA,NA
37247,2.14324,1.55468,-5,-48.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37545,1.0081,1.66479,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-155.172,NA
37764,2.12256,0.916128,-4.8755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-156.713,NA
37895,2.0663,-0.400269,-4.65644,NA,-226.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38093,1.28445,1.40207,-5,NA,-76.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38231,2.34073,1.85995,-4.89371,NA,-69.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38554,2.63982,2.9228,-3.97519,NA,-99.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38723,2.569,2.60304,-4.1445,NA,NA,-40.917,NA,NA,NA,NA,NA,NA,NA,NA,NA
38904,1.02088,2.1661,-4.33949,-35.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39196,1.33192,2.66796,-5,NA,NA,NA,NA,-43.138,NA,NA,NA,NA,NA,NA,NA
39205,1.12335,3.17011,-4.80667,NA,NA,-69.913,NA,NA,NA,NA,NA,NA,NA,NA,NA
39492,0.618697,3.46501,-5,NA,NA,NA,NA,-109.52,NA,NA,NA,NA,NA,NA,NA
39626,1.72173,2.89078,-5,NA,NA,NA,NA,NA,NA,-57.813,NA,NA,NA,NA,NA
39972,2.53108,0.735182,-3.16358,NA,NA,-86.494,NA,NA,NA,NA,NA,NA,NA,NA,NA
40037,2.27377,1.24148,-4.51118,NA,NA,NA,NA,-25.721,NA,NA,NA,NA,NA,NA,NA
40328,2.46862,0.835619,-4.3226,NA,NA,NA,NA,-53.642,NA,NA,NA,NA,NA,NA,NA
40524,3.22107,0.751097,-4.89708,NA,NA,NA,NA,NA,NA,-114.122,NA,NA,NA,NA,NA
40752,2.44025,1.35817,-4.50008,NA,NA,NA,NA,-25.007,NA,NA,NA,NA,NA,NA,NA
40909,1.61955,1.98198,-3.45902,NA,NA,NA,NA,-33.168,NA,NA,NA,NA,NA,NA,NA
41168,1.81378,1.96957,-3.36004,NA,NA,-31.927,NA,NA,NA,NA,NA,NA,NA,NA,NA
41339,1.60266,2.04571,-2.84406,-85.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41505,0.119953,2.05062,-3.72489,NA,NA,NA,NA,NA,NA,NA,NA,NA,-138.276,NA,NA
41731,0.832759,1.82057,-4.51555,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.262,NA,NA
41820,0.506614,0.263804,-5,NA,-206.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42182,0.996373,1.11196,-4.86231,NA,NA,-46.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
