id,x0,x1,x2,fitness-3,fitness-4,fitness-4.5,fitness-5,fitness-3.5
135,-1.9516,3.45775,-4.39698,-176.142,NA,NA,NA,NA
227,-0.912761,2.94308,-5,NA,-161.273,NA,NA,NA
504,-1.7407,3.44765,-5,NA,NA,-23.072,NA,NA
674,-2.30805,3.69641,-4.96414,NA,NA,-47.707,NA,NA
973,-2.43818,4.42801,-5,NA,NA,NA,-62.391,NA
1019,-1.26699,3.99737,-5,NA,NA,NA,-42.433,NA
1343,-1.52562,3.11626,-4.73336,NA,-53.251,NA,NA,NA
1595,-2.25515,4.36509,-5,NA,NA,NA,NA,-94.045
1660,-1.81493,3.74576,-5,NA,NA,-20.52,NA,NA
1944,-1.42317,3.8046,-4.45864,NA,-29.743,NA,NA,NA
2136,-1.82046,3.88764,-4.22311,NA,NA,NA,-55.098,NA
2324,-1.32096,4.60465,-5,NA,NA,NA,-60.397,NA
2539,-1.28846,3.70305,-4.8625,NA,NA,NA,-39.745,NA
2719,-2.76244,4.55901,-5,NA,NA,NA,-76.587,NA
2985,-1.82365,4.20331,-4.32242,NA,NA,NA,-67.296,NA
3106,-1.48282,3.95348,-5,NA,NA,-21.993,NA,NA
3306,-2.0968,4.97532,-5,NA,NA,NA,-78.591,NA
3457,-1.41104,5,-5,NA,NA,NA,-91.503,NA
3791,-1.1876,4.33918,-5,NA,NA,NA,-61.246,NA
3914,-1.35079,4.97781,-5,NA,NA,NA,-89.668,NA
4159,-1.64067,3.79181,-4.60751,NA,NA,NA,-48.17,NA
4361,-2.26478,3.73586,-5,NA,-38.545,NA,NA,NA
4440,-1.65363,4.14183,-5,NA,NA,NA,-39.088,NA
4630,-2.11498,4.22196,-5,NA,NA,NA,-57.87,NA
4903,-2.15574,5,-5,NA,NA,NA,-75.081,NA
5186,-1.26443,4.42328,-5,NA,NA,NA,-69.729,NA
5375,-0.950061,3.78653,-5,NA,NA,-44.987,NA,NA
5564,-1.26806,3.523,-4.29102,NA,NA,NA,-72.305,NA
5728,-1.40598,4.4395,-5,NA,NA,NA,-66.892,NA
5845,-1.5548,3.29448,-4.7548,NA,NA,-28.25,NA,NA
6071,-1.27864,4.20713,-5,NA,-33.831,NA,NA,NA
6291,-0.97659,3.66456,-5,NA,NA,-58.018,NA,NA
6439,-1.12678,3.88212,-5,NA,NA,NA,-76.796,NA
6748,-2.47642,3.52882,-5,NA,NA,NA,-62.47,NA
6987,-2.07034,4.25094,-5,NA,NA,-46.069,NA,NA
7099,-1.67556,3.92973,-4.99868,NA,-18.081,NA,NA,NA
7257,-1.48451,4.39517,-5,NA,NA,-50.423,NA,NA
7562,-2.19704,4.67959,-5,NA,NA,NA,-68.75,NA
7641,-1.43854,4.59152,-5,NA,NA,NA,-56.458,NA
7951,-1.62774,5,-4.06885,NA,NA,NA,-98.677,NA
8121,-1.59293,5,-5,NA,NA,NA,-76.63,NA
8262,-1.61604,5,-5,NA,NA,NA,-75.079,NA
8542,-1.64975,4.32717,-4.42925,NA,NA,NA,-75.685,NA
8630,-1.49416,3.32122,-4.88122,NA,NA,-29.634,NA,NA
8966,-2.58754,4.63249,-5,NA,NA,NA,-67.16,NA
9134,-1.97577,5,-5,NA,NA,-71.018,NA,NA
9385,-1.91414,4.09357,-4.28653,NA,NA,NA,-56.057,NA
9549,-2.69876,4.11626,-5,NA,-71.941,NA,NA,NA
9695,-1.55736,3.69027,-5,NA,NA,-5.686,NA,NA
9801,-2.18602,3.66512,-5,NA,NA,-36.753,NA,NA
10143,-1.95972,3.94584,-5,NA,NA,NA,-39.162,NA
10244,-2.35923,4.13147,-5,NA,NA,NA,-48.643,NA
10566,-1.90979,3.84056,-4.95355,NA,NA,NA,-35.816,NA
10610,-2.13202,3.88149,-5,NA,NA,-38.096,NA,NA
10960,-1.83826,4.15285,-5,NA,-36.289,NA,NA,NA
11061,-1.38645,4.14066,-5,NA,NA,-31.507,NA,NA
11294,-2.50525,4.3441,-4.99457,NA,-60.185,NA,NA,NA
11533,-1.97659,4.97727,-5,NA,-75.323,NA,NA,NA
11761,-2.00952,4.08472,-4.59585,NA,-48.554,NA,NA,NA
11921,-2.41953,3.84212,-5,NA,NA,-47.892,NA,NA
12058,-1.23669,4.32018,-5,NA,NA,NA,-66.241,NA
12324,-1.41814,3.84036,-5,NA,NA,NA,-31.491,NA
12444,-1.80444,4.14976,-4.50154,NA,NA,NA,-56.411,NA
12741,-1.47176,3.83167,-4.69639,NA,-10.337,NA,NA,NA
12984,-1.77762,3.71182,-5,NA,NA,NA,-34.645,NA
13165,-1.55374,3.55923,-5,NA,NA,NA,-44.946,NA
13351,-1.78555,3.66338,-5,NA,NA,NA,-46.98,NA
13481,-1.84951,4.34318,-5,NA,NA,NA,-51.967,NA
13697,-1.83335,3.72086,-4.29191,NA,NA,-46.393,NA,NA
