id,x0,x1,x2,fitness-4.5
35,-3.60652,2.8701,-2.84442,-219.743
217,-3.60652,3.95533,-2.84442,-203.061
284,-3.60652,3.95533,-3.69049,-136.826
336,-3.60652,3.95533,-4.15664,-126.406
358,-2.76754,3.95533,-4.15664,-77.113
410,-2.76754,3.95533,-5,-66.11
414,-1.15284,3.95533,-5,-24.295
464,-1.33914,3.95533,-5,-18.926
484,-1.33914,3.95533,-5,-18.378
516,-1.33914,3.62051,-5,-7.301
626,-1.33914,3.62051,-4.73833,-6.672
692,-1.52498,3.62051,-4.73833,-3.019
789,-1.52498,3.62051,-4.85763,-0.888
860,-1.52498,3.64795,-4.85763,-0.57
913,-1.52498,3.64795,-4.85763,-0.381
1045,-1.47357,3.64795,-4.85763,-0.128
1295,-1.47357,3.67206,-4.85763,-0.017
2185,-1.47357,3.67206,-4.85763,-0.016
2223,-1.47357,3.67206,-4.85763,-0.012
2445,-1.48744,3.67206,-4.85763,-0.007
2679,-1.48744,3.67417,-4.85763,-0.007
3269,-1.48744,3.67417,-4.85836,-0.006
3443,-1.4842,3.67417,-4.85836,-0.002
3990,-1.48127,3.67417,-4.85836,-0.001
6892,-1.48127,3.67417,-4.85836,0
8085,-2.96558,3.67417,-4.85836,-66.624
