id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-3
54,-1.48362,3.11667,-3.0215,-274.605,NA,NA,NA,NA
310,-1.19301,3.13257,-4.01967,-179.589,NA,NA,NA,NA
598,-1.55681,4.06321,-4.53431,NA,-52.176,NA,NA,NA
785,-1.57253,5,-5,NA,-78.21,NA,NA,NA
895,-1.21441,4.94055,-5,NA,NA,-94.372,NA,NA
1120,-1.55352,4.361,-5,NA,NA,NA,-42.265,NA
1212,-1.41428,4.38334,-5,NA,-69.681,NA,NA,NA
1525,-1.89846,4.47679,-4.76632,NA,-57.781,NA,NA,NA
1696,-1.99657,4.26263,-4.64624,NA,-60.291,NA,NA,NA
1919,-2.08717,5,-5,NA,-80.895,NA,NA,NA
2006,-2.12507,3.34336,-5,NA,NA,-43.43,NA,NA
2394,-1.29646,3.80309,-4.75643,NA,-36.352,NA,NA,NA
2403,-1.04582,3.52052,-5,NA,-61.307,NA,NA,NA
2698,-1.63011,3.34877,-5,NA,-40.093,NA,NA,NA
2873,-1.22825,3.62011,-4.6262,NA,NA,-41.328,NA,NA
3200,-1.01474,3.49357,-4.97487,-72.859,NA,NA,NA,NA
3294,-2.31798,3.41596,-4.40015,NA,-80.793,NA,NA,NA
3594,-1.97278,3.9221,-5,NA,NA,NA,-32.095,NA
3752,-1.87001,3.5602,-5,NA,NA,-28.627,NA,NA
3810,-1.5661,4.16184,-5,NA,NA,-48.971,NA,NA
4077,-2.55596,4.42362,-5,NA,-66.902,NA,NA,NA
4301,-3.1594,3.81631,-4.79288,NA,-82.593,NA,NA,NA
4439,-2.57375,3.98259,-5,NA,-58.083,NA,NA,NA
4795,-2.26499,3.92255,-5,NA,-59.246,NA,NA,NA
4879,-2.46139,3.38835,-5,NA,NA,NA,-60.2,NA
5148,-1.71834,3.52516,-5,NA,NA,-14.502,NA,NA
5296,-1.40447,3.40088,-5,NA,NA,-18.151,NA,NA
5505,-1.50121,3.81722,-4.84427,NA,-34.357,NA,NA,NA
5734,-1.69933,4.01954,-4.78041,NA,NA,NA,-29.427,NA
5872,-1.30487,4.10232,-5,NA,NA,NA,-24.65,NA
6005,-2.88638,3.49361,-4.71677,NA,-73.173,NA,NA,NA
6382,-1.77125,3.38169,-5,NA,NA,NA,-29.024,NA
6467,-1.15158,3.91281,-5,NA,-54.446,NA,NA,NA
6750,-2.25439,4.36013,-5,NA,-50.746,NA,NA,NA
