id,x0,x1,x2,fitness-2.5,fitness-2
139,0.760951,2.34361,-3.78392,-46.792,NA
213,1.32851,2.34361,-3.78392,-26.585,NA
235,1.32851,2.34361,-4.42666,-19.342,NA
257,1.32851,1.62753,-4.42666,-7.588,NA
283,1.96427,1.62753,-4.42666,-2.145,NA
324,1.96427,1.62753,-4.42666,-1.875,NA
369,1.80533,1.62753,-4.42666,-0.589,NA
406,1.80533,1.62753,-4.23801,-0.286,NA
498,1.80533,1.62753,-4.30072,-0.114,NA
646,1.76213,1.62753,-4.30072,-0.038,NA
865,1.76213,1.56852,-4.30072,-0.03,NA
945,1.76213,1.617,-4.30072,-0.019,NA
1081,1.76213,1.617,-4.30171,-0.018,NA
1197,1.76213,1.57661,-4.30171,-0.016,NA
1222,1.76213,1.61147,-4.30171,-0.011,NA
1293,1.76213,1.59454,-4.30171,-0.003,NA
1512,1.76213,1.59454,-4.30484,-0.001,NA
1545,1.76213,1.59454,-4.31061,-0.001,NA
2472,1.76213,1.59454,-4.31061,-0.001,NA
2802,1.75495,1.59454,-4.31061,0,NA
2870,1.75495,1.5947,-4.31061,0,NA
3812,1.75495,1.5947,-4.30806,0,NA
6974,1.75495,1.5947,-4.30883,0,NA
7974,1.75495,1.5947,-4.30883,NA,-6.888
