id,x0,x1,x2,fitness-5,fitness-3.5,fitness-2.5,fitness-3,fitness-2,fitness-1.5,fitness-4,fitness-1,fitness-0.5
53,2.08168,2.17135,-4.30868,-135.626,NA,NA,NA,NA,NA,NA,NA,NA
273,2.00237,2.1494,-4.93446,-144.811,NA,NA,NA,NA,NA,NA,NA,NA
578,1.66322,0.854934,-4.69175,NA,-63.203,NA,NA,NA,NA,NA,NA,NA
789,0.873406,1.15852,-4.53092,NA,NA,-45.232,NA,NA,NA,NA,NA,NA
862,0.763471,1.87905,-4.2175,NA,NA,-32.349,NA,NA,NA,NA,NA,NA
1023,2.54244,1.13793,-4.57911,NA,NA,NA,-33.5,NA,NA,NA,NA,NA
1396,1.68775,1.57716,-5,NA,NA,NA,-17.845,NA,NA,NA,NA,NA
1477,2.02596,2.02857,-5,NA,NA,-18.432,NA,NA,NA,NA,NA,NA
1762,1.58794,2.18122,-5,NA,NA,NA,-22.718,NA,NA,NA,NA,NA
1987,2.31219,2.64068,-4.35692,NA,NA,NA,-36.647,NA,NA,NA,NA,NA
2068,1.90803,1.8082,-4.94726,NA,NA,NA,-16.179,NA,NA,NA,NA,NA
2318,1.40748,2.30509,-4.57953,NA,NA,NA,-18.467,NA,NA,NA,NA,NA
2577,2.26273,2.2782,-4.17308,NA,-33.517,NA,NA,NA,NA,NA,NA,NA
2750,2.38343,1.72496,-4.29005,NA,-26.057,NA,NA,NA,NA,NA,NA,NA
2811,1.59784,1.03708,-5,NA,NA,NA,-36.242,NA,NA,NA,NA,NA
3054,1.00969,1.59007,-5,NA,NA,NA,NA,-38.996,NA,NA,NA,NA
3274,1.91642,1.54208,-5,NA,NA,-15.611,NA,NA,NA,NA,NA,NA
3437,1.38229,1.52898,-5,NA,NA,NA,-29.683,NA,NA,NA,NA,NA
3636,1.75155,2.12721,-3.88398,NA,NA,NA,-15.219,NA,NA,NA,NA,NA
3990,1.60174,2.12484,-4.27738,NA,NA,-8.54,NA,NA,NA,NA,NA,NA
4058,1.76804,1.88337,-3.87094,NA,NA,NA,NA,-11.488,NA,NA,NA,NA
4394,2.25317,1.45366,-4.35475,NA,NA,-9.806,NA,NA,NA,NA,NA,NA
4479,1.94508,1.78701,-4.35407,NA,NA,NA,-7.778,NA,NA,NA,NA,NA
4628,1.25559,1.95479,-4.36428,NA,NA,NA,-21.643,NA,NA,NA,NA,NA
4811,1.98467,1.97008,-5,NA,NA,NA,-18.169,NA,NA,NA,NA,NA
5103,0.992818,2.2723,-4.60566,NA,NA,-28.151,NA,NA,NA,NA,NA,NA
5342,2.04942,2.11822,-4.75718,NA,NA,NA,NA,-17.261,NA,NA,NA,NA
5559,1.69356,2.16457,-4.53441,NA,NA,-10.322,NA,NA,NA,NA,NA,NA
5601,1.15614,2.06854,-5,NA,NA,NA,-31.438,NA,NA,NA,NA,NA
5853,2.32811,2.14092,-5,NA,NA,-25.343,NA,NA,NA,NA,NA,NA
6117,1.47983,2.3296,-5,NA,NA,-26.3,NA,NA,NA,NA,NA,NA
6331,1.46346,1.66827,-4.72675,NA,NA,NA,NA,NA,-27.5,NA,NA,NA
6487,1.84076,1.91257,-4.38584,NA,NA,NA,-15.515,NA,NA,NA,NA,NA
6736,2.29357,2.45524,-4.62632,NA,NA,NA,-27.739,NA,NA,NA,NA,NA
6846,1.8692,2.78037,-5,NA,NA,-40.93,NA,NA,NA,NA,NA,NA
7145,2.88817,1.5273,-4.84369,NA,NA,-38.219,NA,NA,NA,NA,NA,NA
7340,2.2235,1.85464,-4.80102,NA,NA,NA,-25.625,NA,NA,NA,NA,NA
7531,1.58857,2.12094,-5,NA,NA,NA,NA,-27.172,NA,NA,NA,NA
7722,2.11147,1.17173,-4.5862,NA,NA,NA,NA,-27.798,NA,NA,NA,NA
7905,0.879518,1.88866,-5,NA,NA,NA,NA,NA,-73.069,NA,NA,NA
8136,1.68821,1.66522,-4.4146,NA,NA,NA,NA,-4.181,NA,NA,NA,NA
8330,0.954799,2.34661,-4.45481,NA,NA,NA,NA,NA,-51.075,NA,NA,NA
8436,2.40011,2.36688,-4.81733,NA,NA,-27.993,NA,NA,NA,NA,NA,NA
8788,2.33086,1.76879,-4.78751,NA,NA,NA,NA,-19.792,NA,NA,NA,NA
8917,1.24715,2.23725,-5,NA,NA,-28.407,NA,NA,NA,NA,NA,NA
9149,2.41274,2.88938,-4.40666,NA,NA,NA,-49.142,NA,NA,NA,NA,NA
9227,1.39329,1.59778,-4.54027,NA,NA,NA,NA,-9.701,NA,NA,NA,NA
9414,1.95914,2.09436,-5,NA,NA,NA,NA,-30.587,NA,NA,NA,NA
9788,1.4622,1.59486,-4.25673,NA,NA,NA,-18.656,NA,NA,NA,NA,NA
9842,2.28075,1.4996,-5,NA,NA,NA,NA,-28.938,NA,NA,NA,NA
10138,2.11812,1.95074,-4.21096,NA,NA,-7.881,NA,NA,NA,NA,NA,NA
10367,3.36343,1.35589,-4.96029,NA,NA,NA,-74.281,NA,NA,NA,NA,NA
10485,2.2671,1.97801,-5,NA,NA,NA,-22.282,NA,NA,NA,NA,NA
10769,3.07918,2.17724,-5,NA,NA,NA,-58.016,NA,NA,NA,NA,NA
10990,2.07971,1.88635,-5,NA,NA,-17.373,NA,NA,NA,NA,NA,NA
11168,2.7208,2.00173,-4.73564,NA,NA,NA,NA,-38.273,NA,NA,NA,NA
11226,2.25711,2.66645,-3.70669,NA,NA,-42.695,NA,NA,NA,NA,NA,NA
11524,2.20793,1.49575,-4.30921,NA,NA,-6.987,NA,NA,NA,NA,NA,NA
11683,0.843543,2.14979,-4.6503,NA,-47.431,NA,NA,NA,NA,NA,NA,NA
11856,1.70204,1.40853,-5,NA,NA,NA,-26.336,NA,NA,NA,NA,NA
12072,1.3055,2.01559,-4.77598,NA,NA,NA,-18.935,NA,NA,NA,NA,NA
12270,2.34818,1.246,-5,NA,NA,NA,-29.939,NA,NA,NA,NA,NA
12421,2.08972,2.24791,-5,NA,-54.427,NA,NA,NA,NA,NA,NA,NA
12771,1.9691,1.79399,-5,NA,NA,NA,NA,NA,NA,-63.273,NA,NA
12811,1.26724,1.83082,-4.52248,NA,-33.682,NA,NA,NA,NA,NA,NA,NA
13086,1.09685,1.22513,-5,NA,NA,NA,NA,NA,NA,-72.288,NA,NA
13316,0.5493,2.22397,-4.33431,NA,NA,-46.378,NA,NA,NA,NA,NA,NA
13530,0.506294,1.97184,-5,NA,NA,NA,NA,-66.912,NA,NA,NA,NA
13649,1.84371,2.08363,-5,NA,NA,NA,NA,-26.433,NA,NA,NA,NA
13906,0.741965,2.09548,-5,NA,NA,-44.229,NA,NA,NA,NA,NA,NA
14198,1.01084,1.89984,-5,NA,-43.719,NA,NA,NA,NA,NA,NA,NA
14231,2.02558,2.04922,-4.51982,NA,NA,NA,-16.412,NA,NA,NA,NA,NA
14423,2.04105,2.191,-5,NA,NA,NA,-22.368,NA,NA,NA,NA,NA
14748,2.13046,2.57913,-4.64593,NA,NA,-27.457,NA,NA,NA,NA,NA,NA
14858,1.57488,2.37325,-4.80318,NA,NA,-21.313,NA,NA,NA,NA,NA,NA
15151,1.32127,2.78405,-4.87813,NA,NA,NA,-42.925,NA,NA,NA,NA,NA
15287,1.99758,1.83161,-5,NA,NA,NA,-17.487,NA,NA,NA,NA,NA
15477,1.58016,1.94863,-4.78196,NA,NA,-10.788,NA,NA,NA,NA,NA,NA
15725,1.62576,2.66912,-5,NA,NA,NA,NA,-41.079,NA,NA,NA,NA
15951,0.582778,1.89491,-5,NA,NA,-51.147,NA,NA,NA,NA,NA,NA
16195,1.49804,2.12858,-5,NA,NA,NA,-24.549,NA,NA,NA,NA,NA
16257,1.28015,1.98863,-4.86514,NA,NA,NA,NA,-24.09,NA,NA,NA,NA
16502,2.09555,1.80215,-4.66833,NA,NA,NA,NA,-12.767,NA,NA,NA,NA
16635,1.96974,2.21591,-5,NA,NA,NA,-24.006,NA,NA,NA,NA,NA
16891,2.02038,1.79901,-5,NA,NA,NA,-28.103,NA,NA,NA,NA,NA
17006,1.30875,1.80594,-4.22557,NA,NA,-8.491,NA,NA,NA,NA,NA,NA
17201,1.73488,1.23895,-4.71685,NA,NA,-12.522,NA,NA,NA,NA,NA,NA
17508,1.5939,1.7114,-4.94763,NA,NA,-13.781,NA,NA,NA,NA,NA,NA
17725,1.89455,3.01989,-5,NA,NA,NA,-58.653,NA,NA,NA,NA,NA
17877,2.5339,1.72431,-4.76379,NA,NA,NA,-23.476,NA,NA,NA,NA,NA
18100,1.40085,2.45876,-4.49878,NA,NA,-22.595,NA,NA,NA,NA,NA,NA
18379,1.91073,1.97975,-5,NA,NA,-17.552,NA,NA,NA,NA,NA,NA
18474,2.08871,2.16264,-5,NA,NA,NA,NA,-29.762,NA,NA,NA,NA
18691,2.29502,2.12609,-4.72155,NA,NA,NA,NA,-28.078,NA,NA,NA,NA
18850,1.70602,1.55554,-5,NA,NA,NA,NA,NA,-32.95,NA,NA,NA
19153,0.218613,1.84892,-5,NA,NA,NA,NA,-83.194,NA,NA,NA,NA
19218,1.68183,1.59805,-3.77137,NA,NA,NA,NA,-24.022,NA,NA,NA,NA
19533,2.60252,1.73737,-4.07422,NA,NA,-22.608,NA,NA,NA,NA,NA,NA
19737,2.08528,1.55259,-5,NA,NA,NA,NA,-24.937,NA,NA,NA,NA
19852,1.75491,0.854692,-5,NA,NA,-50.335,NA,NA,NA,NA,NA,NA
20025,2.39664,1.83886,-4.70566,NA,NA,NA,-27.525,NA,NA,NA,NA,NA
20373,2.61981,1.4833,-5,NA,NA,NA,NA,-36.412,NA,NA,NA,NA
20574,0.924524,1.39805,-3.48934,NA,NA,NA,NA,NA,-74.148,NA,NA,NA
20739,1.13963,1.19155,-4.34382,NA,NA,-25.375,NA,NA,NA,NA,NA,NA
20814,1.99008,1.75096,-4.83358,NA,NA,-10.366,NA,NA,NA,NA,NA,NA
21001,0.83091,1.35236,-4.38634,NA,NA,NA,NA,NA,-79.378,NA,NA,NA
21364,1.47468,1.67997,-5,NA,NA,-17.844,NA,NA,NA,NA,NA,NA
21458,1.3199,1.82665,-3.89017,NA,NA,-13.953,NA,NA,NA,NA,NA,NA
21620,0.938128,1.71162,-3.75388,NA,NA,NA,-33.834,NA,NA,NA,NA,NA
21912,0.774325,1.90533,-3.18006,NA,-78.5,NA,NA,NA,NA,NA,NA,NA
22181,1.21529,2.08291,-4.40931,NA,NA,-16.737,NA,NA,NA,NA,NA,NA
22377,1.43749,2.02177,-3.87659,NA,NA,-14.218,NA,NA,NA,NA,NA,NA
22521,1.60667,1.47127,-3.4821,NA,NA,NA,NA,-36.108,NA,NA,NA,NA
22772,2.20771,1.86919,-3.77635,NA,NA,NA,-23.207,NA,NA,NA,NA,NA
22958,1.50028,3.42567,-4.70215,NA,NA,NA,NA,-76.443,NA,NA,NA,NA
23141,2.36776,2.49396,-5,NA,NA,NA,NA,-37.746,NA,NA,NA,NA
23279,1.5314,1.42618,-5,NA,NA,-19.078,NA,NA,NA,NA,NA,NA
23569,2.11301,2.19593,-5,NA,NA,-22.456,NA,NA,NA,NA,NA,NA
23798,1.55392,1.65322,-5,NA,NA,NA,NA,NA,-38.668,NA,NA,NA
23898,1.34654,2.51932,-4.14422,NA,NA,NA,-29.188,NA,NA,NA,NA,NA
24003,1.44402,1.62208,-4.40168,NA,NA,-4.558,NA,NA,NA,NA,NA,NA
24337,1.73427,2.32801,-4.82738,NA,NA,NA,-24.631,NA,NA,NA,NA,NA
24553,1.57671,2.89971,-5,NA,NA,-47.02,NA,NA,NA,NA,NA,NA
24628,2.32318,2.81439,-5,NA,NA,NA,NA,NA,NA,-84.469,NA,NA
24958,2.79331,2.41029,-3.64956,NA,NA,NA,-57.015,NA,NA,NA,NA,NA
25026,2.26714,2.06974,-4.01335,NA,NA,-14.923,NA,NA,NA,NA,NA,NA
25258,2.47809,2.45519,-4.82539,NA,NA,-33.711,NA,NA,NA,NA,NA,NA
25525,2.533,1.6137,-5,NA,NA,NA,-28.975,NA,NA,NA,NA,NA
25735,1.00501,1.31045,-4.70325,NA,NA,-31.242,NA,NA,NA,NA,NA,NA
25954,1.76408,2.09073,-5,NA,NA,NA,-23.161,NA,NA,NA,NA,NA
26152,2.06566,1.76997,-5,NA,NA,-17.132,NA,NA,NA,NA,NA,NA
26237,2.22928,1.86066,-5,NA,NA,-19.979,NA,NA,NA,NA,NA,NA
26408,2.68543,1.47302,-5,NA,NA,NA,-38.183,NA,NA,NA,NA,NA
26663,2.24939,1.77059,-4.53492,NA,NA,-9.078,NA,NA,NA,NA,NA,NA
26882,1.84846,1.45638,-3.7374,NA,NA,NA,-17.805,NA,NA,NA,NA,NA
27018,2.7068,1.05273,-4.24261,NA,NA,NA,NA,-40.465,NA,NA,NA,NA
27276,2.44195,1.79986,-4.50796,NA,NA,-15.467,NA,NA,NA,NA,NA,NA
27482,1.07824,1.58227,-4.59818,NA,NA,NA,-28.837,NA,NA,NA,NA,NA
27675,2.47557,1.85744,-4.80174,NA,NA,NA,-27.277,NA,NA,NA,NA,NA
27896,2.81536,1.90207,-5,NA,NA,NA,-40.045,NA,NA,NA,NA,NA
28069,2.31761,1.88294,-5,NA,NA,NA,NA,NA,-35.91,NA,NA,NA
28321,2.16626,2.02278,-4.94033,NA,NA,NA,-24.739,NA,NA,NA,NA,NA
28509,1.42461,1.81918,-4.38181,NA,NA,NA,-8.225,NA,NA,NA,NA,NA
28601,2.0019,1.46787,-4.72103,NA,NA,-8.466,NA,NA,NA,NA,NA,NA
28958,2.04854,2.82578,-4.56167,NA,NA,NA,NA,NA,-57.481,NA,NA,NA
29152,1.98305,2.10704,-4.61976,NA,NA,-10.305,NA,NA,NA,NA,NA,NA
29288,1.73357,2.03471,-4.48357,NA,NA,-6.783,NA,NA,NA,NA,NA,NA
29495,1.65613,1.78633,-4.59047,NA,NA,NA,-14.123,NA,NA,NA,NA,NA
29747,1.66313,1.91697,-3.32511,NA,NA,NA,NA,-41.106,NA,NA,NA,NA
29962,2.2326,2.13634,-4.56313,NA,NA,-14.989,NA,NA,NA,NA,NA,NA
30097,1.32698,2.24424,-4.18307,NA,NA,NA,NA,-22.002,NA,NA,NA,NA
30375,1.6328,1.49605,-4.42126,NA,NA,-2.626,NA,NA,NA,NA,NA,NA
30582,1.40951,1.80252,-5,NA,NA,NA,-25.892,NA,NA,NA,NA,NA
30756,1.25971,2.15919,-5,NA,NA,-26.644,NA,NA,NA,NA,NA,NA
30998,2.02185,1.30993,-4.30008,NA,NA,-6.64,NA,NA,NA,NA,NA,NA
31049,1.11167,1.60073,-4.44616,NA,NA,NA,-20.949,NA,NA,NA,NA,NA
31393,2.046,1.16688,-3.8941,NA,NA,-16.882,NA,NA,NA,NA,NA,NA
31417,2.1776,1.79401,-4.11261,NA,NA,NA,NA,NA,-23.479,NA,NA,NA
31664,1.91049,1.52072,-4.59518,NA,NA,NA,NA,-14.042,NA,NA,NA,NA
31884,2.01482,1.59703,-4.49584,NA,NA,-3.774,NA,NA,NA,NA,NA,NA
32072,2.19389,1.58089,-5,NA,NA,NA,NA,NA,NA,-55.751,NA,NA
32311,2.3488,1.52141,-5,NA,NA,-22.603,NA,NA,NA,NA,NA,NA
32425,1.93399,1.73208,-5,NA,NA,NA,NA,-17.848,NA,NA,NA,NA
32614,1.3598,2.33427,-3.71684,NA,NA,-27.244,NA,NA,NA,NA,NA,NA
32975,2.96087,1.98718,-4.17359,NA,NA,NA,NA,-39.709,NA,NA,NA,NA
33153,1.98694,1.85337,-3.627,NA,NA,NA,-20.217,NA,NA,NA,NA,NA
33226,2.05545,1.41305,-4.81753,NA,NA,-12.591,NA,NA,NA,NA,NA,NA
33420,1.99625,2.10316,-5,NA,NA,-19.321,NA,NA,NA,NA,NA,NA
33643,1.74282,1.81324,-3.49603,NA,-37.965,NA,NA,NA,NA,NA,NA,NA
33809,2.10915,2.0147,-4.53058,NA,NA,NA,NA,-11.086,NA,NA,NA,NA
34047,1.93398,2.71905,-4.43769,NA,-55.312,NA,NA,NA,NA,NA,NA,NA
34271,2.39472,1.71724,-4.11391,NA,NA,-13.083,NA,NA,NA,NA,NA,NA
34512,1.48579,1.6955,-5,NA,NA,-17.139,NA,NA,NA,NA,NA,NA
34711,1.39698,2.18276,-5,NA,NA,NA,-26,NA,NA,NA,NA,NA
34883,2.81888,2.18631,-5,NA,NA,-42.947,NA,NA,NA,NA,NA,NA
35025,2.00793,1.44725,-5,NA,NA,NA,-19.111,NA,NA,NA,NA,NA
35356,2.36062,1.38595,-5,NA,NA,NA,NA,-27.181,NA,NA,NA,NA
35463,2.07061,0.863759,-5,NA,-53.258,NA,NA,NA,NA,NA,NA,NA
35788,2.07386,2.02916,-4.2015,NA,NA,NA,NA,-13.005,NA,NA,NA,NA
35874,1.80431,1.97799,-3.83851,NA,NA,NA,NA,-22.363,NA,NA,NA,NA
36150,1.89581,1.86635,-3.58297,NA,NA,-19.193,NA,NA,NA,NA,NA,NA
36390,1.69566,1.7677,-4.09732,NA,NA,NA,NA,NA,-21.336,NA,NA,NA
36429,1.15648,1.68968,-4.79223,NA,NA,NA,NA,NA,-44.185,NA,NA,NA
36730,1.90263,1.81995,-4.17309,NA,NA,NA,NA,-5.225,NA,NA,NA,NA
