id,x0,x1,x2,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness-3
104,-2.37482,2.69364,-4.07446,-143.977,NA,NA,NA,NA
344,-1.03621,3.83506,-4.1824,NA,-62.183,NA,NA,NA
509,-0.918776,4.74328,-5,NA,NA,-95.033,NA,NA
767,-1.72479,3.41069,-4.69907,-26.086,NA,NA,NA,NA
913,-2.10802,4.08654,-5,NA,NA,-35.76,NA,NA
1184,-2.33892,3.71971,-4.72743,NA,NA,-35.525,NA,NA
1246,-2.1339,3.38479,-4.98354,NA,-52.57,NA,NA,NA
1473,-2.44582,3.81086,-5,NA,-56.504,NA,NA,NA
1743,-2.9349,4.2443,-5,NA,NA,-80.334,NA,NA
1957,-1.33841,3.36998,-4.75508,NA,NA,-40.54,NA,NA
2109,-2.00345,3.65667,-4.73622,NA,-41.349,NA,NA,NA
2226,-1.74262,4.34627,-4.57804,NA,NA,-45.68,NA,NA
2552,-1.7601,3.6262,-5,NA,-45.848,NA,NA,NA
2603,-2.20379,3.76254,-4.74182,NA,-56.634,NA,NA,NA
2934,-2.04856,3.85452,-4.45301,NA,-67.134,NA,NA,NA
3116,-1.05455,3.78431,-5,NA,NA,-33.794,NA,NA
3267,-1.87612,4.06223,-5,-45.786,NA,NA,NA,NA
3484,-1.9581,3.14945,-5,NA,-66.366,NA,NA,NA
3612,-1.49276,3.35301,-5,NA,-64.862,NA,NA,NA
3880,-1.084,4.50297,-4.41022,NA,-83.264,NA,NA,NA
4027,-1.54851,4.26959,-5,NA,-51.057,NA,NA,NA
4223,-1.08015,3.77585,-5,NA,NA,-18.403,NA,NA
4479,-1.24004,4.34327,-5,NA,-67.265,NA,NA,NA
4647,-2.17881,3.50103,-5,NA,-54.136,NA,NA,NA
4846,-1.88709,3.53945,-4.54145,NA,NA,-35.333,NA,NA
5193,-2.18236,3.20734,-5,-65.34,NA,NA,NA,NA
5232,-1.90336,3.7069,-5,NA,-40.068,NA,NA,NA
5531,-1.18382,5,-5,NA,-88.749,NA,NA,NA
5620,-2.1673,4.83957,-4.72502,NA,NA,-67.831,NA,NA
5861,-2.51979,4.45932,-4.16361,NA,NA,-76.777,NA,NA
6137,-2.47784,3.48803,-5,NA,NA,-57.254,NA,NA
6328,-2.50827,3.47864,-5,NA,-62.248,NA,NA,NA
6474,-1.71364,4.22179,-5,-37.961,NA,NA,NA,NA
6796,-0.963457,3.89917,-4.90571,-44.452,NA,NA,NA,NA
6987,-1.84775,4.12033,-4.24026,NA,-63.94,NA,NA,NA
7015,-1.32309,4.27111,-4.35728,NA,-46.92,NA,NA,NA
7298,-2.17989,4.63147,-5,NA,-65.205,NA,NA,NA
7431,-1.47491,4.37141,-5,NA,NA,-39.431,NA,NA
7619,-2.35459,4.04691,-5,NA,-55.038,NA,NA,NA
