id,x0,x1,x2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5,fitness-2,fitness-4
52,3.31276,3.453,-4.24412,-150.904,NA,NA,NA,NA,NA
234,2.67435,1.43312,-3.81127,-61.021,NA,NA,NA,NA,NA
574,1.71447,2.23798,-4.93805,NA,-19.741,NA,NA,NA,NA
630,1.78866,2.6766,-4.32136,NA,-26.514,NA,NA,NA,NA
842,2.22119,2.07778,-4.70506,NA,NA,-18.792,NA,NA,NA
1166,2.23764,1.73915,-4.18658,NA,-7.903,NA,NA,NA,NA
1383,2.55636,1.2796,-4.70643,NA,-26.005,NA,NA,NA,NA
1596,1.16489,2.09958,-4.96641,NA,NA,-28.883,NA,NA,NA
1731,2.2158,1.61166,-4.78811,NA,NA,-15.515,NA,NA,NA
1963,1.39491,1.27858,-4.46539,NA,NA,-23.796,NA,NA,NA
2183,1.94779,1.73802,-4.2845,NA,-2.752,NA,NA,NA,NA
2245,1.73297,1.73342,-3.89517,NA,-7.102,NA,NA,NA,NA
2468,1.95594,1.74053,-4.24136,NA,NA,NA,-19.823,NA,NA
2673,2.57274,1.95662,-3.98645,NA,NA,-33.752,NA,NA,NA
2833,2.73601,1.38005,-4.71295,NA,NA,NA,NA,-34.773,NA
3120,2.1447,1.6361,-4.53148,NA,NA,NA,NA,-19.887,NA
3242,2.17559,2.21869,-3.76145,NA,NA,NA,NA,-23.619,NA
3548,1.51594,1.6031,-4.69064,NA,NA,-18.281,NA,NA,NA
3754,1.098,1.5561,-4.82284,NA,NA,NA,-38.695,NA,NA
3937,1.34539,1.6455,-4.22754,NA,-7.898,NA,NA,NA,NA
4071,1.59451,1.98208,-4.37597,NA,NA,-7.204,NA,NA,NA
4276,2.50221,1.98422,-4.14013,NA,-18.859,NA,NA,NA,NA
4414,2.2084,1.90923,-4.96248,NA,-18.759,NA,NA,NA,NA
4659,1.83723,2.05537,-4.37262,-24.737,NA,NA,NA,NA,NA
4946,2.1097,1.7875,-4.84022,NA,NA,NA,NA,-17.959,NA
5150,1.51786,2.10667,-3.91473,NA,NA,NA,NA,-15.222,NA
5353,1.88291,1.44162,-4.62341,NA,NA,NA,NA,-10.905,NA
5427,1.90759,1.79272,-4.56798,NA,-5.182,NA,NA,NA,NA
5717,1.94692,0.992132,-4.39568,NA,NA,-19.874,NA,NA,NA
5883,1.62408,1.8384,-4.15618,NA,-4.801,NA,NA,NA,NA
6051,1.76344,1.15214,-4.46023,NA,NA,NA,NA,-16.319,NA
6328,1.41338,1.66204,-3.61055,NA,-20.872,NA,NA,NA,NA
6462,1.55549,1.56205,-3.94191,NA,NA,-8.399,NA,NA,NA
6734,1.36474,2.05174,-4.95298,-34.998,NA,NA,NA,NA,NA
6821,1.68093,2.00281,-4.89693,NA,NA,NA,NA,-16.438,NA
7176,1.76404,2.04951,-4.4659,NA,NA,-16.226,NA,NA,NA
7244,2.07763,1.68733,-4.35103,NA,-5.35,NA,NA,NA,NA
7587,1.84121,1.83167,-4.34359,NA,-3.803,NA,NA,NA,NA
7719,2.56505,1.45827,-4.00009,NA,NA,-27.559,NA,NA,NA
7821,1.82247,1.2324,-4.39656,NA,-6.245,NA,NA,NA,NA
8035,1.67792,2.05061,-4.73462,NA,-10.946,NA,NA,NA,NA
8247,1.88255,1.84822,-4.63327,NA,-6.292,NA,NA,NA,NA
8485,1.96462,2.71515,-4.20952,NA,-29.448,NA,NA,NA,NA
8733,2.77968,1.40106,-4.73316,NA,NA,-37.322,NA,NA,NA
8893,2.11408,1.77062,-4.33032,NA,NA,-6.705,NA,NA,NA
9030,2.31759,1.69836,-4.63485,NA,NA,NA,NA,-18.975,NA
9251,1.02073,2.20886,-4.13737,NA,NA,-27.163,NA,NA,NA
9411,1.87984,1.33743,-3.95065,NA,NA,NA,NA,-12.774,NA
9722,2.18788,1.62843,-4.86239,NA,NA,-14.896,NA,NA,NA
9870,1.24842,2.54436,-4.41756,NA,NA,NA,NA,-35.16,NA
10157,2.1039,1.57514,-4.81982,NA,-12.238,NA,NA,NA,NA
10349,1.40902,2.05277,-4.04391,NA,-11.519,NA,NA,NA,NA
10416,2.05993,1.51242,-3.86725,NA,NA,NA,NA,-11.978,NA
10654,1.34677,1.35331,-4.87716,NA,-19.639,NA,NA,NA,NA
10967,1.92053,1.48484,-4.61788,NA,NA,-10.161,NA,NA,NA
11063,1.77728,1.14348,-4.59503,NA,NA,-21.914,NA,NA,NA
11237,2.19718,1.28914,-4.4205,NA,-12.273,NA,NA,NA,NA
11416,1.83128,1.85187,-4.80067,NA,NA,-10.514,NA,NA,NA
11618,2.24778,2.29753,-4.17571,NA,-18.636,NA,NA,NA,NA
11908,2.30712,1.88646,-4.20483,NA,NA,NA,NA,-14.069,NA
12151,2.17819,2.2602,-4.15334,NA,NA,NA,NA,-19.682,NA
12264,1.53978,2.11337,-4.72277,NA,NA,-19.752,NA,NA,NA
12589,2.14168,1.70055,-4.41753,NA,NA,-9.996,NA,NA,NA
