id,x0,x1,x2,fitness-2.5,fitness-3,fitness-4,fitness-3.5,fitness-2,fitness-1.5,fitness-4.5,fitness-1,fitness-0.5
159,2.05243,1.44891,-4.87023,-14.348,NA,NA,NA,NA,NA,NA,NA,NA
201,1.34505,1.13781,-5,NA,-44.526,NA,NA,NA,NA,NA,NA,NA
457,2.02613,3.21446,-4.93096,-64.346,NA,NA,NA,NA,NA,NA,NA,NA
700,2.84422,2.3661,-5,-47.943,NA,NA,NA,NA,NA,NA,NA,NA
905,2.79071,2.81425,-4.63249,NA,-59.091,NA,NA,NA,NA,NA,NA,NA
1079,2.86028,1.44862,-5,NA,-45.677,NA,NA,NA,NA,NA,NA,NA
1205,2.04308,2.47184,-5,NA,NA,-74.056,NA,NA,NA,NA,NA,NA
1561,2.5928,0.743262,-4.39657,NA,NA,NA,-76.429,NA,NA,NA,NA,NA
1789,1.42272,1.75141,-3.27919,-36.954,NA,NA,NA,NA,NA,NA,NA,NA
1870,0.635122,1.48528,-3.86488,-54.331,NA,NA,NA,NA,NA,NA,NA,NA
2200,0.912909,1.92435,-5,NA,NA,NA,NA,-37.821,NA,NA,NA,NA
2290,0.944282,3.11092,-5,-72.21,NA,NA,NA,NA,NA,NA,NA,NA
2527,1.78191,1.7418,-5,-14.79,NA,NA,NA,NA,NA,NA,NA,NA
2642,2.18101,2.83608,-4.65092,-39.199,NA,NA,NA,NA,NA,NA,NA,NA
2959,1.85288,1.33511,-5,-19.226,NA,NA,NA,NA,NA,NA,NA,NA
3165,2.02271,1.78365,-4.20953,NA,-9.13,NA,NA,NA,NA,NA,NA,NA
3394,1.59303,1.76006,-5,NA,-17.49,NA,NA,NA,NA,NA,NA,NA
3578,2.01567,1.59894,-4.84908,NA,-15.864,NA,NA,NA,NA,NA,NA,NA
3636,2.06957,1.17155,-5,-25.31,NA,NA,NA,NA,NA,NA,NA,NA
3958,1.65387,1.92122,-5,NA,-24.336,NA,NA,NA,NA,NA,NA,NA
4132,1.49857,1.60378,-4.47043,NA,NA,NA,-23.32,NA,NA,NA,NA,NA
4223,1.23073,2.05029,-4.58608,NA,-18.47,NA,NA,NA,NA,NA,NA,NA
