id,x0,x1,x2,fitness-3,fitness-4,fitness-4.5,fitness-5,fitness-3.5,fitness-2
146,-4.11652,1.5964,-3.42181,-365.762,NA,NA,NA,NA,NA
318,-4.0118,3.40822,-4.04038,-216.944,NA,NA,NA,NA,NA
514,-2.13875,4.51467,-4.71824,NA,-61.718,NA,NA,NA,NA
601,-2.918,3.01202,-4.68341,-127.821,NA,NA,NA,NA,NA
807,-2.83788,3.09872,-4.51529,NA,NA,-89.551,NA,NA,NA
1118,-2.37831,4.00935,-4.4873,NA,NA,NA,-56.073,NA,NA
1389,-3.6116,3.62984,-4.34823,NA,NA,NA,-121.497,NA,NA
1557,-2.93095,3.85919,-4.96507,NA,NA,-59.681,NA,NA,NA
1637,-2.18701,4.77989,-4.80544,NA,-76.466,NA,NA,NA,NA
1859,-3.00455,4.40385,-4.19421,NA,NA,-86.166,NA,NA,NA
2112,-1.74234,3.70977,-4.28847,NA,NA,NA,-40.866,NA,NA
2296,-1.02334,4.90893,-4.6774,NA,NA,-96.564,NA,NA,NA
2467,-1.68878,4.34329,-4.92015,NA,NA,-51.352,NA,NA,NA
2604,-2.77334,3.42293,-4.96621,NA,NA,-69.728,NA,NA,NA
2999,-2.62535,4.34131,-4.37044,NA,-83.552,NA,NA,NA,NA
3104,-1.16841,3.30378,-4.74672,NA,NA,NA,-55.947,NA,NA
3208,-0.648136,4.93817,-4.89768,NA,NA,-125.355,NA,NA,NA
3560,-1.26063,4.66299,-4.91746,NA,-80.761,NA,NA,NA,NA
3663,-2.51107,4.44921,-3.64612,NA,NA,-98.732,NA,NA,NA
3964,-1.72219,4.25632,-4.9326,NA,NA,NA,NA,-33.349,NA
4047,-1.04564,4.00668,-4.68693,NA,NA,-44.945,NA,NA,NA
4287,-2.65425,4.89633,-4.64748,-142.911,NA,NA,NA,NA,NA
4505,-2.06602,4.05855,-4.00004,-141.694,NA,NA,NA,NA,NA
4661,-2.51584,4.67117,-4.66278,NA,-73.318,NA,NA,NA,NA
4826,-2.95079,3.85769,-4.8014,NA,-64.716,NA,NA,NA,NA
5153,-3.08117,4.84156,-4.64928,NA,NA,-97.895,NA,NA,NA
5324,-2.82877,4.52683,-4.4129,NA,NA,-80.842,NA,NA,NA
5513,-2.10416,4.79515,-4.87739,NA,NA,NA,-60.657,NA,NA
5760,-1.19229,4.92197,-4.29809,NA,NA,NA,-98.405,NA,NA
5832,-2.23525,4.78865,-4.93486,NA,NA,NA,-75.507,NA,NA
6082,-2.11826,3.98942,-4.85839,NA,NA,-37.74,NA,NA,NA
6332,-2.53221,4.45126,-3.5766,NA,NA,-105.685,NA,NA,NA
6419,-2.42779,4.66954,-4.65034,NA,NA,-64.492,NA,NA,NA
6751,-2.26624,4.64903,-4.90139,NA,NA,NA,-68.76,NA,NA
6830,-1.82228,4.70263,-3.48223,NA,NA,NA,-113.472,NA,NA
7014,-1.52436,4.15618,-3.84979,NA,NA,-84.525,NA,NA,NA
7367,-1.12066,4.07242,-4.07882,-186.054,NA,NA,NA,NA,NA
7571,-1.32743,4.32762,-4.63987,NA,NA,-49.138,NA,NA,NA
7623,-3.02547,4.67847,-4.73001,NA,-99.752,NA,NA,NA,NA
7895,-2.26746,4.93174,-4.36445,NA,NA,NA,-83.376,NA,NA
8187,-2.40278,4.2109,-4.77906,NA,NA,NA,-49.863,NA,NA
8396,-0.675719,4.45735,-4.30804,NA,NA,-130.465,NA,NA,NA
8406,-1.99986,3.66922,-4.43868,NA,NA,NA,-63.973,NA,NA
8727,-2.1193,4.41786,-4.93203,NA,NA,NA,-55.078,NA,NA
8833,-2.10048,4.12213,-3.93815,NA,NA,-73.481,NA,NA,NA
9025,-2.29063,4.18757,-3.60462,NA,NA,-102.866,NA,NA,NA
9282,-2.46342,3.3478,-3.83872,NA,NA,-107.306,NA,NA,NA
9524,-2.5174,3.80116,-4.26732,NA,-77.521,NA,NA,NA,NA
9664,-2.22103,4.0133,-4.7869,NA,NA,NA,NA,-68.235,NA
9852,-3.27582,4.25585,-3.62506,NA,NA,NA,-136.182,NA,NA
10195,-1.8311,4.49426,-4.00391,NA,NA,NA,-78.573,NA,NA
10285,-2.85969,3.81858,-4.08052,NA,NA,-87.078,NA,NA,NA
10598,-2.81505,4.22779,-4.16218,NA,NA,NA,-85.958,NA,NA
10770,-3.31336,4.27,-4.77098,NA,-89.778,NA,NA,NA,NA
10978,-2.23822,3.82517,-4.75157,NA,NA,-38.308,NA,NA,NA
11196,-1.62048,4.91719,-4.61628,NA,NA,-74.694,NA,NA,NA
11225,-3.19411,2.27997,-3.63553,NA,NA,NA,-187.294,NA,NA
11513,-2.87652,2.85189,-4.62038,NA,NA,-98.941,NA,NA,NA
11669,-2.24413,3.04336,-4.72606,NA,NA,-70.589,NA,NA,NA
11889,-2.69701,3.97688,-4.69949,NA,NA,-64.091,NA,NA,NA
12195,-0.951176,4.56029,-4.99537,NA,-90.436,NA,NA,NA,NA
12361,-2.26202,3.52366,-4.85597,NA,-51.546,NA,NA,NA,NA
12465,-2.09834,3.93451,-4.5897,NA,-42.921,NA,NA,NA,NA
12694,-2.5333,4.26511,-4.35574,NA,-70.247,NA,NA,NA,NA
12970,-1.53678,4.85953,-4.05336,NA,NA,NA,-92.906,NA,NA
13128,-0.996143,4.83824,-4.31592,NA,NA,-124.904,NA,NA,NA
13277,-2.40553,3.8067,-4.58164,NA,NA,-54.456,NA,NA,NA
13488,-1.65658,4.0256,-3.57335,NA,NA,-105.268,NA,NA,NA
13763,-2.26018,2.67225,-4.72572,NA,-116.826,NA,NA,NA,NA
13803,-1.59617,2.89994,-4.28041,NA,NA,-97.038,NA,NA,NA
14004,-1.92819,3.66106,-4.98654,NA,-29.893,NA,NA,NA,NA
14213,-2.74591,4.19472,-4.84526,NA,NA,-59.142,NA,NA,NA
14500,-2.86518,3.85294,-4.44753,NA,NA,-75.504,NA,NA,NA
14742,-1.67122,4.88358,-4.52283,NA,NA,NA,-74.753,NA,NA
14807,-2.25196,4.68549,-3.85556,NA,-81.914,NA,NA,NA,NA
15051,-1.45084,3.63599,-4.77396,NA,-10.149,NA,NA,NA,NA
15363,-2.02856,4.33128,-4.84327,NA,-72.226,NA,NA,NA,NA
15553,-1.49763,4.04032,-4.97917,NA,NA,-21.724,NA,NA,NA
15655,-1.00727,4.98535,-4.23919,NA,NA,NA,-124.263,NA,NA
15972,-1.67113,4.86988,-4.9304,NA,NA,NA,-73.774,NA,NA
16130,-1.88338,4.02111,-4.90407,NA,-27.95,NA,NA,NA,NA
16226,-1.25355,4.09849,-4.41654,NA,-62.275,NA,NA,NA,NA
16491,-1.81067,4.4807,-4.86506,NA,NA,NA,-51.915,NA,NA
16618,-1.99703,4.92187,-4.20092,NA,-90.289,NA,NA,NA,NA
16896,-2.51773,4.83655,-4.33145,NA,-88.185,NA,NA,NA,NA
17128,-3.06257,4.26723,-4.92067,NA,-84.826,NA,NA,NA,NA
17224,-2.99202,4.12646,-3.53539,NA,NA,-118.977,NA,NA,NA
17478,-2.04098,3.97178,-4.42983,NA,-49.703,NA,NA,NA,NA
17626,-1.44634,3.9767,-4.57812,NA,NA,-23.126,NA,NA,NA
17931,-1.55082,3.45438,-4.07828,NA,NA,-72.532,NA,NA,NA
18037,-2.42374,4.24309,-3.79514,NA,NA,NA,-79.566,NA,NA
18240,-3.17737,4.14076,-3.75364,NA,NA,NA,NA,-140.654,NA
18497,-1.05695,3.95572,-4.63578,NA,-55.228,NA,NA,NA,NA
18653,-0.927497,4.49922,-4.14642,NA,-119.191,NA,NA,NA,NA
18964,-1.36726,4.10071,-4.53864,NA,NA,-37.24,NA,NA,NA
19183,-1.11553,4.24685,-3.89369,NA,NA,NA,NA,-103.365,NA
19355,-1.43289,3.64071,-3.84719,NA,NA,-108.242,NA,NA,NA
19542,-2.18698,3.95874,-4.36438,NA,NA,NA,-53.564,NA,NA
19647,-2.13011,4.31172,-4.01913,NA,NA,-71.732,NA,NA,NA
19823,-2.71729,4.90796,-4.28234,NA,NA,NA,-95.729,NA,NA
20021,-1.83476,4.31183,-4.63067,NA,NA,-43.629,NA,NA,NA
20208,-1.39779,3.66221,-4.89396,NA,-6.504,NA,NA,NA,NA
20564,-1.80115,2.76666,-4.5348,NA,NA,-100.706,NA,NA,NA
20656,-1.41311,3.75752,-4.04425,NA,NA,NA,-84.358,NA,NA
20851,-1.51682,4.95774,-4.92091,NA,NA,NA,NA,-98.877,NA
21139,-1.96006,4.52433,-4.11657,NA,NA,NA,-73.91,NA,NA
21272,-2.17267,4.29617,-4.90463,NA,-63.158,NA,NA,NA,NA
21427,-1.09957,4.81538,-4.60151,NA,-103.797,NA,NA,NA,NA
21776,-2.65987,4.14925,-4.13941,NA,NA,NA,-72.897,NA,NA
21984,-1.92939,4.3567,-4.84258,NA,NA,NA,NA,-86.312,NA
22063,-2.38265,4.60388,-4.52569,NA,NA,-70.338,NA,NA,NA
22259,-3.53546,4.29248,-4.07556,NA,-134.548,NA,NA,NA,NA
22557,-2.12271,4.59371,-4.95123,NA,NA,-61.83,NA,NA,NA
22616,-2.13893,4.52642,-4.73985,NA,NA,NA,-57.212,NA,NA
22879,-2.97343,4.83416,-4.95439,NA,NA,-86.235,NA,NA,NA
23120,-2.63657,4.39143,-4.68554,NA,NA,-62.315,NA,NA,NA
23301,-1.55839,4.14594,-4.54054,NA,-41.158,NA,NA,NA,NA
23449,-2.75382,3.4232,-3.95096,NA,NA,NA,NA,-130.965,NA
23695,-3.65953,4.34003,-4.53965,NA,-124.004,NA,NA,NA,NA
23850,-3.4131,4.19421,-4.03851,NA,NA,-115.524,NA,NA,NA
24167,-2.5566,4.49323,-4.0677,NA,NA,NA,-83.305,NA,NA
24283,-0.987159,3.99534,-4.99808,NA,NA,-49.436,NA,NA,NA
24494,-2.5331,4.43519,-4.29674,NA,NA,-73.722,NA,NA,NA
24620,-3.64072,4.47204,-4.125,NA,NA,-133.072,NA,NA,NA
24981,-1.7556,3.2261,-4.66272,-175.821,NA,NA,NA,NA,NA
25157,-2.5003,3.35536,-3.94337,NA,-118.582,NA,NA,NA,NA
25346,-1.93774,4.5706,-4.22562,NA,NA,-59.926,NA,NA,NA
25582,-1.20852,4.44998,-4.06984,NA,NA,NA,-95.491,NA,NA
25717,-2.29396,4.54001,-4.45917,NA,NA,-64.005,NA,NA,NA
25818,-2.62876,4.81479,-3.82809,NA,-110.801,NA,NA,NA,NA
26162,-2.63666,4.25712,-4.59524,NA,NA,NA,-68.828,NA,NA
26369,-0.866911,4.64687,-4.35442,NA,NA,-90.792,NA,NA,NA
26446,-2.28065,3.82746,-4.65128,NA,NA,-45.773,NA,NA,NA
26638,-2.30413,4.63826,-3.83726,NA,NA,-77.406,NA,NA,NA
26967,-1.28242,2.94418,-4.73379,NA,NA,-92.21,NA,NA,NA
27023,-1.89554,3.59313,-4.67404,NA,-23.798,NA,NA,NA,NA
27357,-1.99842,4.39115,-4.83514,NA,NA,-51.135,NA,NA,NA
27509,-1.40327,3.28966,-4.64681,NA,-60.27,NA,NA,NA,NA
27790,-2.36577,3.16408,-4.53702,NA,-96.196,NA,NA,NA,NA
27844,-1.71514,3.89066,-4.4928,NA,NA,NA,-37.081,NA,NA
28107,-1.98778,4.07877,-4.9637,NA,-38.744,NA,NA,NA,NA
28278,-1.10937,3.73521,-4.60789,NA,NA,-35.591,NA,NA,NA
28433,-1.77691,4.26452,-4.27568,NA,NA,NA,NA,-107.326,NA
