id,x0,x1,x2,fitness5
189,4.77822,0.257277,-1.22926,3106.94
228,4.78768,0.257277,-1.22926,3163.015
240,4.78768,0.217213,-1.3597,4366.483
257,4.78768,0.33722,-1.3597,6486.393
274,4.78768,0.33722,-1.48674,6540.238
294,4.78768,-0.634715,-1.48674,17346.025
323,4.87857,-0.634715,-1.48674,18351.72
363,4.87857,-0.634715,-1.48674,20430.094
389,4.87857,-0.739752,-1.48674,27814.172
419,4.87857,-0.739752,-1.48035,28074.335
440,4.87857,-0.850508,-1.48035,28450.355
456,4.87857,-0.813313,-1.48035,29266.855
502,4.87857,-0.813313,-1.43718,30341.313
538,4.84751,-0.813313,-1.43718,30460.139
548,4.84751,-0.813313,-1.43718,30614.222
627,4.84751,-0.813313,-1.43718,30682.002
726,4.84751,-0.813313,-1.43718,30736.702
812,4.84751,-0.813313,-1.42596,30792.034
970,4.84751,-0.795539,-1.42596,30845.411
1351,4.84751,-0.800189,-1.42596,30853.749
1674,4.84751,-0.800189,-1.4254,30853.986
1879,4.84751,-0.800189,-1.4254,30877.719
2062,4.84751,-0.800189,-1.4254,30890.945
2859,4.86709,-0.800189,-1.4254,30902.161
4402,4.85645,-0.800189,-1.4254,30932.749
7687,4.85938,-0.800189,-1.4254,30933.069
8159,4.85938,-0.800189,-2.8657,-5740.42
