id,x0,x1,x2,fitness-3,fitness-4,fitness-4.5
135,-1.9516,3.45775,-4.39698,-176.142,NA,NA
210,-1.9516,3.45775,-4.77914,-86.123,NA,NA
213,-1.9516,3.45775,-4.77914,NA,-34.414,NA
247,-1.42995,3.45775,-4.77914,NA,-17.477,NA
266,-1.42995,3.45775,-4.77914,NA,NA,-7.303
314,-1.42995,3.45775,-4.89184,NA,NA,-6.488
328,-1.42995,3.45775,-4.89184,NA,NA,-4.951
371,-1.42995,3.7296,-4.89184,NA,NA,-2.769
419,-1.42995,3.64551,-4.89184,NA,NA,-2.001
448,-1.42995,3.64551,-4.89184,NA,NA,-1.537
501,-1.42995,3.64551,-4.88941,NA,NA,-1.512
517,-1.45218,3.64551,-4.88941,NA,NA,-1.162
556,-1.45218,3.64551,-4.8298,NA,NA,-1.153
608,-1.45218,3.64551,-4.8298,NA,NA,-0.465
719,-1.47798,3.64551,-4.8298,NA,NA,-0.306
743,-1.47798,3.69151,-4.8298,NA,NA,-0.236
901,-1.47798,3.67046,-4.8298,NA,NA,-0.181
1065,-1.47798,3.67046,-4.8298,NA,NA,-0.171
1085,-1.47798,3.67046,-4.8298,NA,NA,-0.145
1205,-1.47798,3.67046,-4.85122,NA,NA,-0.014
1475,-1.48015,3.67046,-4.85122,NA,NA,-0.012
2305,-1.48015,3.67046,-4.85457,NA,NA,-0.005
4920,-1.48015,3.67242,-4.85457,NA,NA,-0.004
5180,-1.48015,3.67242,-4.85759,NA,NA,-0.001
6086,-1.48133,3.67242,-4.85759,NA,NA,-0.001
7603,-1.48133,3.67359,-4.85759,NA,NA,0
8052,-1.48133,2.98247,-4.85759,NA,NA,-87.027
