id,x0,x1,x2,fitness4.5,fitness5
101,4.40399,4.91715,-0.186479,3551.673,NA
207,4.40399,4.91715,-0.186479,4680.266,NA
273,4.40399,4.91715,-1.34841,6555.955,NA
295,4.40399,4.91715,-1.46145,6965.752,NA
343,4.40399,4.91715,-1.41237,7066.267,NA
351,4.27168,4.91715,-1.41237,10238.856,NA
437,4.27168,4.91715,-1.41237,NA,12275.737
491,4.27168,4.86026,-1.41237,NA,12839.852
664,5,4.86026,-0.787503,NA,22658.67
709,4.74018,4.86026,-0.787503,NA,25319.495
737,4.83766,4.86026,-0.787503,NA,30049.803
791,4.83766,4.86026,-0.787503,NA,30574.152
827,4.83766,4.86026,-0.787503,NA,30635.221
1256,4.83766,4.86026,-0.798634,NA,30693.737
1374,4.84236,4.86026,-0.798634,NA,30758.425
1464,4.84643,4.86026,-0.798634,NA,30800.944
1662,4.8654,4.86026,-0.798634,NA,30831.994
1742,4.8654,4.86026,-0.798634,NA,30861.473
1873,4.86438,4.86026,-0.798634,NA,30866.862
2075,4.85975,4.86026,-0.798634,NA,30881.195
2674,4.85839,4.86026,-0.798634,NA,30882.258
3142,4.85839,4.86026,-0.798634,NA,30896.746
3310,4.85839,4.86026,-0.798634,NA,30930.645
5061,4.85839,4.86026,-0.799491,NA,30931.435
5181,4.85839,4.86017,-0.799491,NA,30931.585
5904,4.85839,4.85653,-0.799491,NA,30932.41
8247,4.85839,4.85653,-0.799491,NA,30058.462
