id,x0,x1,x2,fitness-3.5,fitness-4.5,fitness-4
177,-2.41472,3.0022,-4.7486,-119.364,NA,NA
223,-2.41472,3.0022,-4.96212,-117.981,NA,NA
237,-2.41472,3.95839,-4.96212,-91.702,NA,NA
263,-2.41472,3.95839,-4.96212,-83.169,NA,NA
279,-2.41472,3.95839,-4.96212,NA,-44.09,NA
315,-1.75663,3.95839,-4.96212,NA,-13.76,NA
350,-1.75663,3.95839,-4.82364,NA,-12.577,NA
380,-1.75663,3.58723,-4.82364,NA,-11.085,NA
397,-1.75663,3.79707,-4.82364,NA,-6.146,NA
489,-1.54376,3.79707,-4.82364,NA,-3.527,NA
517,-1.54376,3.79707,-4.82364,NA,-2.771,NA
581,-1.54376,3.79707,-4.84446,NA,-2.632,NA
717,-1.54376,3.71801,-4.84446,NA,-0.941,NA
764,-1.54376,3.71801,-4.86689,NA,-0.92,NA
839,-1.51517,3.71801,-4.86689,NA,-0.619,NA
865,-1.51517,3.659,-4.86689,NA,-0.35,NA
941,-1.49151,3.659,-4.86689,NA,-0.205,NA
1070,-1.49151,3.68215,-4.86689,NA,-0.183,NA
1122,-1.48415,3.68215,-4.86689,NA,-0.171,NA
1171,-1.48415,3.68215,-4.86689,NA,-0.047,NA
1542,-1.48415,3.66657,-4.86689,NA,-0.044,NA
1829,-1.48415,3.66657,-4.85907,NA,-0.033,NA
1968,-1.48415,3.68038,-4.85907,NA,-0.031,NA
2035,-1.48415,3.67074,-4.85907,NA,-0.026,NA
2104,-1.48415,3.67074,-4.85907,NA,-0.01,NA
2672,-1.48415,3.67074,-4.85907,NA,-0.003,NA
2870,-1.48415,3.6709,-4.85907,NA,-0.003,NA
3894,-1.48415,3.676,-4.85907,NA,-0.002,NA
6244,-1.48415,3.676,-4.85907,NA,-0.002,NA
7974,-1.48415,3.676,-4.85907,NA,NA,-24.227
