id,x0,x1,x2,fitness-4.5,fitness-4,fitness-3.5,fitness-5,fitness-3
35,-3.60652,2.8701,-2.84442,-219.743,NA,NA,NA,NA
214,-2.79762,4.21449,-2.77796,NA,-190.48,NA,NA,NA
576,-4.39051,4.73075,-4.9957,NA,NA,-224.134,NA,NA
778,-5,5,-4.35618,-293.233,NA,NA,NA,NA
975,-3.26946,5,-5,NA,NA,NA,-120.645,NA
1198,-3.08486,4.38181,-4.27276,NA,NA,NA,-96.284,NA
1243,-1.96263,3.04162,-4.33241,NA,NA,NA,-104.606,NA
1407,-1.7669,3.82943,-4.15316,NA,NA,NA,-53.404,NA
1711,-1.63375,3.90372,-5,NA,NA,NA,-50.509,NA
1848,-1.87278,3.79541,-5,-19.272,NA,NA,NA,NA
2141,-2.82566,4.4232,-4.70931,-74.089,NA,NA,NA,NA
2214,-1.74222,4.63221,-5,NA,NA,NA,-72.939,NA
2490,-1.47623,4.7092,-5,NA,NA,NA,-60.284,NA
2724,-2.16183,3.79,-5,-36.282,NA,NA,NA,NA
2881,-1.38296,4.63731,-5,-60.067,NA,NA,NA,NA
3062,-2.32043,3.21745,-4.76563,NA,NA,NA,-59.55,NA
3251,-2.19617,4.14067,-5,-44.473,NA,NA,NA,NA
3408,-2.00663,3.72843,-4.42737,NA,-56.036,NA,NA,NA
3752,-2.35992,4.15708,-4.83798,NA,-49.662,NA,NA,NA
3888,-2.158,5,-4.41381,NA,NA,NA,-82.611,NA
4020,-1.88564,4.81274,-5,NA,NA,NA,-64.347,NA
4254,-2.78811,5,-4.72449,NA,NA,NA,-96.056,NA
4523,-3.28847,4.90545,-5,NA,NA,NA,-116.737,NA
4688,-2.18567,5,-5,NA,NA,NA,-75.088,NA
4972,-2.88928,5,-5,NA,NA,NA,-97.632,NA
5181,-2.53095,4.63663,-5,NA,NA,NA,-68.963,NA
5369,-1.91066,4.16184,-4.84015,NA,NA,NA,-55.254,NA
5405,-1.90064,3.91301,-5,-24.973,NA,NA,NA,NA
5687,-1.70487,3.7707,-4.95949,-5.534,NA,NA,NA,NA
5801,-2.23948,5,-4.53546,-77.253,NA,NA,NA,NA
6021,-2.05401,5,-4.67954,-71.226,NA,NA,NA,NA
6284,-1.57358,4.77877,-4.53406,NA,NA,NA,-73.537,NA
6558,-1.8523,4.61225,-4.8718,NA,NA,NA,-61.861,NA
6758,-2.72263,3.8905,-4.91733,-72.73,NA,NA,NA,NA
6853,-2.26627,4.28383,-4.58021,NA,-60.831,NA,NA,NA
7180,-2.87243,4.96715,-5,NA,NA,-109.669,NA,NA
7247,-2.01347,5,-5,NA,NA,NA,-81.68,NA
7593,-2.65028,4.96928,-4.99487,NA,NA,NA,-90.308,NA
7721,-3.33087,5,-5,NA,NA,NA,-125.887,NA
7861,-2.68068,3.60405,-5,NA,NA,NA,-67.57,NA
8083,-1.74522,3.71052,-5,-23.307,NA,NA,NA,NA
8290,-1.98624,3.64755,-4.77413,-29.878,NA,NA,NA,NA
8579,-1.08728,4.00671,-5,NA,NA,NA,-70.321,NA
8635,-2.4321,3.70979,-3.71914,NA,NA,NA,-104.024,NA
8807,-2.30394,3.36715,-5,NA,NA,NA,-47.954,NA
9199,-2.97556,3.98622,-5,NA,-72.719,NA,NA,NA
9317,-2.36981,4.56133,-5,NA,-61.498,NA,NA,NA
9585,-1.98564,3.98426,-5,-32.278,NA,NA,NA,NA
9673,-1.41344,5,-5,NA,-81.255,NA,NA,NA
9891,-2.85039,4.8621,-5,NA,NA,NA,-93.095,NA
10023,-1.9864,5,-5,-73.038,NA,NA,NA,NA
10230,-2.38189,5,-5,NA,NA,NA,-79.028,NA
10406,-2.84132,4.88463,-5,-85.901,NA,NA,NA,NA
10611,-2.13629,4.9498,-5,NA,NA,NA,-76.288,NA
10874,-1.72374,3.93976,-5,-12.743,NA,NA,NA,NA
11133,-1.01767,3.81443,-5,NA,-43.064,NA,NA,NA
11398,-2.70214,3.64121,-4.71556,NA,NA,NA,-65.5,NA
11476,-1.73865,3.77002,-5,NA,NA,NA,-52.617,NA
11761,-1.71685,4.44824,-4.18076,-63.308,NA,NA,NA,NA
11921,-1.53975,5,-5,NA,-81.554,NA,NA,NA
12127,-1.55979,5,-5,NA,-82.698,NA,NA,NA
12261,-2.01345,5,-5,NA,-70.663,NA,NA,NA
12525,-1.95911,5,-5,-67.934,NA,NA,NA,NA
12632,-2.38201,4.22468,-5,NA,NA,-98.256,NA,NA
12996,-2.89412,4.23407,-5,NA,NA,-75.943,NA,NA
13074,-2.08463,3.62401,-5,NA,NA,NA,-47.676,NA
13310,-1.97848,3.0153,-5,NA,NA,NA,-58.573,NA
13565,-1.88156,3.31084,-5,-38.795,NA,NA,NA,NA
13720,-1.55369,4.99131,-5,NA,NA,-116.102,NA,NA
13844,-2.5925,3.84745,-5,NA,NA,NA,-52.48,NA
14054,-2.37277,4.63731,-4.67806,NA,NA,NA,-75.145,NA
14398,-2.35719,5,-5,NA,-82.021,NA,NA,NA
14579,-3.18596,5,-5,-107.594,NA,NA,NA,NA
14765,-2.26073,5,-5,NA,NA,-95.509,NA,NA
14987,-1.85654,5,-5,NA,-89.783,NA,NA,NA
15175,-0.648376,4.47719,-5,NA,NA,NA,-114.637,NA
15233,-1.71458,3.72682,-4.13668,NA,NA,NA,-56.312,NA
15548,-1.23937,3.31313,-4.6363,NA,NA,NA,-76.837,NA
15775,-1.28215,4.64533,-4.15949,-91.024,NA,NA,NA,NA
15967,-2.92719,4.44404,-4.74461,NA,NA,NA,-80.24,NA
16193,-1.51344,4.33337,-4.89722,NA,NA,NA,-59.984,NA
16318,-1.94494,4.54489,-5,-57.066,NA,NA,NA,NA
16471,-2.45769,3.75579,-5,NA,NA,NA,-61.424,NA
16687,-2.47676,4.50024,-5,NA,NA,NA,-66.782,NA
16837,-3.04793,5,-5,NA,NA,NA,-106.199,NA
17097,-2.49561,5,-4.8954,NA,NA,NA,-85.498,NA
17301,-2.53309,5,-5,-79.863,NA,NA,NA,NA
17519,-2.92868,4.35515,-5,NA,NA,NA,-74.95,NA
17710,-2.60732,2.86975,-5,NA,NA,NA,-81.124,NA
17921,-2.33623,5,-5,NA,-82.251,NA,NA,NA
18198,-2.45186,3.90969,-5,-48.14,NA,NA,NA,NA
18327,-2.30268,4.19584,-5,-49.082,NA,NA,NA,NA
18403,-3.1018,5,-4.89572,NA,-109.459,NA,NA,NA
18756,-2.44781,4.44624,-5,-59.606,NA,NA,NA,NA
18864,-1.7656,5,-4.78475,NA,NA,NA,-71.653,NA
19140,-2.14103,5,-4.83342,NA,NA,NA,-80.094,NA
19293,-1.45254,4.10432,-5,NA,-33.505,NA,NA,NA
19579,-2.52314,3.63518,-5,NA,NA,NA,-61.081,NA
19674,-1.7303,3.29345,-5,-37.153,NA,NA,NA,NA
19803,-1.65003,4.75907,-5,NA,NA,NA,-78.678,NA
20111,-2.25742,4.94603,-4.42721,NA,NA,NA,-83.741,NA
20380,-1.21922,4.57462,-4.8776,NA,NA,NA,-76.018,NA
20453,-2.71056,4.54453,-4.60738,-73.962,NA,NA,NA,NA
20754,-1.64884,3.80857,-5,NA,NA,NA,-52.691,NA
20823,-1.71007,4.6983,-5,-47.183,NA,NA,NA,NA
21037,-2.57867,3.09529,-5,NA,NA,NA,-75.61,NA
21393,-1.72375,4.09117,-4.07376,NA,NA,NA,-73.041,NA
21483,-1.40212,4.71671,-4.94237,NA,NA,NA,-51.245,NA
21617,-1.07901,5,-5,NA,NA,NA,-87.76,NA
21955,-1.27661,4.08763,-5,-33.664,NA,NA,NA,NA
22197,-2.20896,5,-4.80517,NA,-80.61,NA,NA,NA
22378,-2.95874,5,-5,NA,NA,-106.33,NA,NA
22484,-2.90958,3.82771,-4.88068,NA,-65.977,NA,NA,NA
22663,-1.13111,4.69109,-5,NA,NA,NA,-100.4,NA
22826,-2.31854,5,-5,NA,NA,NA,-76.983,NA
23017,-3.32278,5,-4.6923,NA,NA,NA,-126.051,NA
23204,-2.02186,4.93616,-5,NA,NA,NA,-74.914,NA
23528,-1.08894,5,-5,NA,NA,NA,-87.474,NA
23659,-1.71872,3.84759,-3.64118,NA,-78.09,NA,NA,NA
23852,-2.24845,4.00585,-5,NA,NA,NA,-46.855,NA
24003,-2.27342,2.709,-4.49761,-104.135,NA,NA,NA,NA
24277,-2.51089,4.44462,-5,NA,NA,NA,-66.942,NA
24509,-2.07539,4.84424,-4.81121,NA,NA,NA,-64.442,NA
24716,-2.20196,4.88081,-5,NA,NA,-92.372,NA,NA
24837,-3.28221,5,-5,-116.285,NA,NA,NA,NA
25037,-2.27773,4.91773,-5,NA,NA,NA,-76.999,NA
25400,-2.9075,5,-5,NA,NA,NA,-95.407,NA
25463,-2.41909,5,-4.34868,NA,-86.623,NA,NA,NA
25661,-2.34439,5,-4.18983,NA,NA,NA,-97.66,NA
25893,-0.993039,5,-4.76792,NA,NA,NA,-92.968,NA
26133,-2.5122,3.68744,-4.51881,NA,NA,NA,-66.794,NA
26218,-2.66905,4.00516,-4.55532,NA,NA,NA,-69.048,NA
26444,-2.35182,3.99327,-5,NA,NA,NA,-58.484,NA
26753,-1.05374,4.44528,-5,-76.952,NA,NA,NA,NA
26997,-0.765721,4.43954,-4.4476,-125.363,NA,NA,NA,NA
27020,-2.08926,3.96111,-5,NA,-42.149,NA,NA,NA
27324,-2.2902,3.94443,-5,NA,NA,NA,-59.311,NA
27523,-1.56001,5,-5,NA,NA,NA,-79.257,NA
27604,-1.82552,3.48825,-5,NA,NA,NA,-45.001,NA
27914,-2.01171,3.95047,-5,NA,NA,NA,-36.331,NA
28110,-1.89449,3.55314,-4.82734,NA,NA,NA,-49.086,NA
28246,-1.47157,3.77179,-4.33967,NA,NA,NA,-55.575,NA
28506,-1.88416,3.04529,-5,NA,NA,NA,-69.046,NA
28698,-2.72829,3.33262,-5,NA,-86.583,NA,NA,NA
28956,-2.65117,3.68917,-4.9307,NA,NA,-66.425,NA,NA
29052,-2.11989,4.50809,-5,NA,-57.871,NA,NA,NA
29209,-1.48455,3.893,-5,NA,NA,-78.437,NA,NA
29583,-1.47537,3.97132,-5,-18.867,NA,NA,NA,NA
29655,-1.59245,5,-4.87167,-78.641,NA,NA,NA,NA
29922,-1.82593,3.74002,-5,NA,NA,NA,-32.476,NA
30116,-1.99099,4.68747,-4.55986,NA,NA,NA,-68.361,NA
30353,-1.33545,4.90561,-4.55479,NA,NA,NA,-87.432,NA
30437,-1.459,3.49537,-5,NA,NA,NA,-47.566,NA
30718,-1.59353,4.1479,-4.93609,NA,-36.823,NA,NA,NA
30814,-2.54527,3.72995,-5,NA,-62.603,NA,NA,NA
31062,-2.93058,4.21193,-5,NA,NA,NA,-71.262,NA
31304,-1.25263,3.63721,-5,NA,NA,NA,-52.894,NA
31514,-0.397452,3.66803,-5,-126.097,NA,NA,NA,NA
31716,-1.47791,3.9868,-5,-15.754,NA,NA,NA,NA
31989,-1.64502,5,-5,NA,NA,NA,-73.564,NA
32104,-1.7495,5,-5,-77.985,NA,NA,NA,NA
32360,-1.45218,5,-3.93945,-105.136,NA,NA,NA,NA
32424,-1.81043,4.26403,-5,NA,NA,NA,-44.762,NA
32682,-1.53536,4.14011,-5,-29.511,NA,NA,NA,NA
32973,-0.939013,4.19823,-5,NA,NA,NA,-75.134,NA
33124,-2.13212,3.43173,-4.6076,NA,NA,NA,-51.262,NA
33315,-2.82922,3.07057,-4.69657,NA,NA,NA,-92.741,NA
33487,-2.89967,4.9029,-4.19905,NA,NA,NA,-105.085,NA
33631,-2.16641,4.53116,-5,NA,NA,NA,-58.102,NA
33934,-1.77774,5,-4.59256,NA,NA,NA,-79.831,NA
34051,-1.89718,5,-4.97372,NA,NA,NA,-78.529,NA
34296,-1.916,5,-5,NA,NA,NA,-79.837,NA
34594,-1.92529,5,-5,-69.989,NA,NA,NA,NA
34686,-1.98675,3.30482,-4.32862,NA,-60.782,NA,NA,NA
34873,-1.73005,3.03906,-5,NA,-102.872,NA,NA,NA
35082,-1.92367,3.76247,-5,NA,-30.742,NA,NA,NA
35363,-1.66851,4.2882,-5,NA,NA,NA,-38.685,NA
35595,-2.19725,5,-4.01678,NA,NA,NA,-96.523,NA
35696,-2.47993,4.47678,-4.87762,NA,NA,NA,-66.133,NA
35944,-2.58169,5,-4.01333,NA,NA,NA,-105.362,NA
36087,-2.60123,2.83221,-4.98184,NA,NA,NA,-80.199,NA
36277,-3.40284,2.65837,-3.27945,-190.052,NA,NA,NA,NA
36490,-2.74144,3.29707,-5,NA,NA,NA,-83.601,NA
36791,-2.53447,4.16155,-5,NA,NA,NA,-65.504,NA
36969,-1.9941,5,-5,-69.838,NA,NA,NA,NA
37009,-2.12888,4.58525,-5,NA,NA,NA,-58.655,NA
37313,-1.78158,4.9165,-5,NA,NA,NA,-74.423,NA
37577,-2.07182,5,-4.9765,NA,NA,NA,-81.759,NA
