id,x0,x1,x2,fitness4.5,fitness5
126,-1.0308,4.96227,3.89517,1535.614,NA
225,-1.0308,4.96227,3.89517,NA,1573.323
238,-0.697082,4.96227,3.89517,NA,3231.177
259,-0.697082,4.96227,4.73414,NA,14483.534
266,-0.697082,4.96227,4.73414,NA,18628.682
289,-0.697082,4.88748,4.73414,NA,21331.819
341,-0.697082,4.88748,4.86779,NA,25913.91
356,-0.891146,4.88748,4.86779,NA,26626.945
477,-0.891146,4.88748,4.8667,NA,26633.635
511,-0.71881,4.88748,4.8667,NA,27237.821
540,-0.71881,4.88748,4.8667,NA,28230.207
601,-0.832042,4.88748,4.8667,NA,30203.68
618,-0.808388,4.88748,4.8667,NA,30544.904
636,-0.799708,4.88748,4.8667,NA,30568.333
807,-0.799708,4.88748,4.8507,NA,30576.31
1174,-0.799708,4.84947,4.8507,NA,30884.233
1221,-0.799708,4.86328,4.8507,NA,30902.061
2103,-0.799708,4.8565,4.8507,NA,30911.669
2393,-0.799708,4.8565,4.85782,NA,30932.494
2957,-0.799708,4.85692,4.85782,NA,30932.931
4679,-0.800878,4.85692,4.85782,NA,30932.955
5345,-0.800878,4.85692,4.85782,NA,30933.065
6735,-0.800878,4.85886,4.85782,NA,30933.314
7930,-0.800878,4.20202,4.85782,NA,-13421.874
