id,x0,x1,x2,fitness0.5,fitness1,fitness2
53,7.58168,7.67135,1.19132,0.798,NA,NA
237,7.58168,7.67135,1.19132,NA,0.95,NA
322,7.58168,7.67135,1.19132,NA,NA,0.988
339,7.58168,7.67135,1.19132,NA,NA,0.992
438,7.58168,7.67135,1.16776,NA,NA,0.996
536,7.66944,7.67135,1.16776,NA,NA,0.999
622,7.66944,7.67135,1.16776,NA,NA,0.999
662,7.7077,7.67135,1.16776,NA,NA,1
885,7.7077,7.73234,1.16776,NA,NA,1
1043,7.7077,7.70563,1.16776,NA,NA,1
1311,7.7077,7.70563,0.623371,NA,NA,1
1547,7.7077,7.70563,1.16987,NA,NA,1
2225,7.7077,7.70563,1.16987,NA,NA,1
3410,7.7077,7.70563,1.16987,NA,1,NA
6563,7.7077,7.70643,1.16987,NA,1,NA
8125,6.0129,7.70643,1.16987,NA,0.553,NA
